timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance,time_diff,cumulative_ratio,x_coord,y_coord
1970-01-01 00:28:36.988547852,0.2754800319671631,1.177377700805664,10.026874542236328,-0.2005358636379242,-0.4050664603710174,0.1941442787647247,15.074999809265137,-27.475000381469727,-26.83749961853028,0.0,-1.0,0.0,-1.0,-55.0,4052.0,0.0,-1.0,0.0,-1.0,-92.0,9413.0,0.0,0.0,30.4,7.72
1970-01-01 00:28:36.988547921,0.4988583922386169,0.8743496537208557,9.687314987182615,0.0186421126127243,0.0498010702431201,0.0029294746927917,15.037500381469728,-27.850000381469727,-26.67500114440918,0.0,-1.0,0.0,-1.0,-54.0,4110.0,0.0,-1.0,0.0,-1.0,-90.0,7831.0,6.9e-08,0.0081627824441026,30.359186087779484,7.72
1970-01-01 00:28:36.988548001,0.8084740042686462,0.5299996137619019,9.705281257629396,-0.0215715859085321,0.043010015040636,-0.0174436904489994,14.83750057220459,-27.387500762939453,-25.92500114440918,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8e-08,0.0176268780314681,30.31186560984266,7.72
1970-01-01 00:28:36.988548050,1.2420556545257568,0.5383837819099426,9.85859203338623,-0.1257010996341705,-0.03795001283288,-0.003328948514536,14.71250057220459,-26.375,-26.46249961853028,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,4.9e-08,0.0234236365787294,30.28288181710635,7.72
1970-01-01 00:28:36.988548121,1.5349029302597046,0.6234232783317566,10.065800666809082,-0.1278316229581833,-0.0741689726710319,0.023169482126832,15.0,-26.39999961853028,-26.61250114440918,0.0,-1.0,0.0,-1.0,-66.0,3700.0,0.0,-1.0,0.0,-1.0,-89.0,10829.0,7.1e-08,0.0318230214125162,30.240884892937416,7.72
1970-01-01 00:28:36.988548201,1.1174907684326172,1.078564167022705,9.290265083312988,-0.243013247847557,-0.3306311666965484,-0.0588558092713356,15.0625,-26.08749961853028,-27.262500762939453,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8e-08,0.0412871169998816,30.19356441500059,7.72
1970-01-01 00:28:36.988548281,0.9204626083374025,0.9204626083374025,10.080772399902344,-0.0344879068434238,-0.9633976817131042,0.1829590052366256,14.487500190734863,-25.387500762939453,-28.387500762939453,0.0,-1.0,0.0,-1.0,-55.0,3876.0,0.0,-1.0,0.0,-1.0,-91.0,7948.0,8e-08,0.0507512125872471,30.14624393706376,7.72
1970-01-01 00:28:36.988548361,2.536212921142578,1.5001684427261353,9.669947624206545,-0.549143373966217,-0.6291712522506714,0.3082606196403503,12.0,-24.08749961853028,-28.71249961853028,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8e-08,0.0602153081746125,30.098923459126937,7.72
1970-01-01 00:28:36.988548401,3.0763933658599854,0.4431635439395904,9.657371520996094,-0.9038761258125304,-0.5370259881019592,0.3976096212863922,10.125,-23.200000762939453,-29.8125,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,4e-08,0.0649473559682952,30.07526322015852,7.72
1970-01-01 00:28:36.988548481,2.6799416542053223,-0.0670733973383903,10.32391357421875,0.0043942118063569,-0.3395527601242065,1.010269284248352,8.225000381469727,-21.48750114440918,-31.08749961853028,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8e-08,0.0744114515556607,30.027942742221693,7.72
