timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance
1751970044241,-0.5644330382347107,1.7639280557632446,10.105326652526855,-0.38201919198036194,-0.2768274247646332,-0.009453942999243736,28.743751525878906,10.74375057220459,-21.58125114440918,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970044312,-0.5374982953071594,1.600523829460144,9.710882186889648,-0.04660394415259361,-0.13714875280857086,0.07190322875976562,28.350000381469727,10.74375057220459,-21.881250381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970044390,-0.4225766062736511,1.460463047027588,9.998186111450195,-0.060585130006074905,0.037416309118270874,0.11118369549512863,28.556251525878906,10.74375057220459,-21.918750762939453,-75.0,9885.0,0.0,-1.0,0.0,-1.0,-62.0,2385.0,0.0,-1.0,0.0,-1.0
1751970044441,-0.20290859043598175,1.6496049165725708,9.642048835754395,0.02303566411137581,0.06564498692750931,0.12702903151512146,28.537500381469727,10.65000057220459,-21.806251525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970044511,-0.3794809579849243,1.7106571197509766,9.706093788146973,-0.023568280041217804,0.11451254785060883,0.1278279572725296,28.650001525878906,10.668750762939453,-21.806251525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970044591,-0.33518823981285095,1.8842366933822632,9.576807022094727,-0.0930747389793396,0.08961272984743118,0.05406057462096214,28.687501907348633,10.537500381469727,-21.787500381469727,-75.0,9856.0,0.0,-1.0,0.0,-1.0,-62.0,1907.0,0.0,-1.0,0.0,-1.0
1751970044651,-0.4118026793003082,1.643619418144226,9.911396026611328,-0.07097115367650986,0.048468101769685745,0.0063913981430232525,28.743751525878906,10.481250762939453,-21.543750762939453,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970044713,-0.48303020000457764,1.6861165761947632,9.616909980773926,-0.09347419440746307,-0.05219641700387001,-0.01983996480703354,28.725000381469727,10.40625,-21.431251525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970044793,-0.790086567401886,1.5580267906188965,10.175955772399902,-0.015579032711684704,-0.022236740216612816,0.05659050494432449,28.80000114440918,10.481250762939453,-21.356250762939453,-75.0,9944.0,0.0,-1.0,0.0,-1.0,-59.0,2610.0,0.0,-1.0,0.0,-1.0
1751970044841,-0.9941922426223755,2.1799206733703613,8.941744804382324,-0.07842778414487839,0.08268871158361435,0.1087869256734848,28.98750114440918,10.40625,-21.20625114440918,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970044912,-1.315613865852356,2.0254945755004883,9.55825138092041,-0.37988871335983276,-0.16351327300071716,-0.0801587849855423,28.98750114440918,10.481250762939453,-21.056251525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970044993,-0.933738648891449,1.7848774194717407,9.701904296875,-0.6266233325004578,-0.339676171541214,0.12995843589305878,28.912500381469727,10.78125,-21.0,-80.0,10061.0,0.0,-1.0,0.0,-1.0,-57.0,1799.0,0.0,-1.0,0.0,-1.0
1751970045041,-0.2555810213088989,1.789067268371582,10.0765962600708,-1.1075760126113892,-0.36404338479042053,0.3375457227230072,28.593751907348633,11.21250057220459,-20.793750762939453,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970045113,0.0802057534456253,0.9594763517379761,10.73141098022461,-0.005193010903894901,-0.16457849740982056,0.2057231217622757,28.23750114440918,11.793750762939453,-20.4375,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970045194,-0.7182605266571045,1.4293384552001953,10.201094627380371,1.1995855569839478,0.7090457081794739,0.27323228120803833,28.05000114440918,12.15000057220459,-20.400001525878906,-77.0,10442.0,0.0,-1.0,0.0,-1.0,-61.0,3059.0,0.0,-1.0,0.0,-1.0
1751970045242,-0.6422445774078369,1.9620482921600342,9.716867446899414,0.2719007432460785,-0.10199606418609619,-0.17536398768424988,27.843751907348633,12.225000381469727,-20.381250381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751970045313,-0.4207809567451477,1.613093376159668,10.293272018432617,0.21570968627929688,-0.04873441159725189,-0.017842652276158333,27.600000381469727,12.075000762939453,-20.193750381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
