timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance
1751964756442,-0.1256231814622879,1.1282159090042114,9.832108497619629,-0.22708898782730103,-0.1805105358362198,0.005192350596189499,14.343750953674316,8.58750057220459,-36.9375,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964756507,-0.49651068449020386,0.776470959186554,10.043872833251953,-0.21685700118541718,-0.08918625861406326,-0.08368847519159317,11.887500762939453,8.4375,-35.98125076293945,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964756572,-0.43908295035362244,0.7034898400306702,9.960124015808105,-0.08979712426662445,-0.1545487940311432,0.04474584385752678,16.181251525878906,7.893750190734863,-38.45625305175781,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964756639,0.05742774158716202,0.8638089895248413,9.687342643737793,-0.039248060435056686,-0.14752385020256042,-0.03405570983886719,18.131250381469727,8.268750190734863,-39.78750228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964756702,0.11844471842050552,0.5180460810661316,10.015159606933594,-0.03497200831770897,-0.08200860023498535,-0.04917461425065994,18.318750381469727,9.75,-40.181251525878906,-76.0,12154.0,0.0,-1.0,0.0,-1.0,-56.0,4515.0,0.0,-1.0,0.0,-1.0
1751964756768,-0.26560330390930176,0.5587241053581238,9.834501266479492,-0.005650499369949102,0.04001164436340332,-0.005345067009329796,17.55000114440918,8.40000057220459,-40.368751525878906,-74.0,11568.0,0.0,-1.0,0.0,-1.0,-53.0,4441.0,0.0,-1.0,0.0,-1.0
1751964756836,-0.2667997181415558,0.5982056856155396,9.45045280456543,-0.028099779039621353,-0.061391908675432205,0.0010690133785828948,16.556251525878906,8.456250190734863,-39.45000076293945,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964756899,-0.26201409101486206,0.5551348328590393,10.17308521270752,0.001832594396546483,-0.04505127668380737,-0.010690134018659592,16.481250762939453,8.362500190734863,-39.50625228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964756964,-0.6364908218383789,0.9272187948226929,8.519644737243652,-0.24404047429561615,-0.09529490768909454,0.05085449293255806,17.325000762939453,8.193750381469727,-38.45625305175781,-76.0,12027.0,0.0,-1.0,0.0,-1.0,-47.0,3902.0,0.0,-1.0,0.0,-1.0
1751964757028,-0.8183453679084778,0.2679961323738098,10.015159606933594,-0.17424917221069336,0.13133592903614044,0.3315468728542328,17.118751525878906,8.700000762939453,-39.243751525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757093,-0.592223584651947,1.3124631643295288,8.199007034301758,-0.45219266414642334,-0.37919431924819946,0.25702136754989624,18.65625,8.34375,-39.525001525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757159,0.6484549641609192,0.5312066078186035,11.875578880310059,-0.34895649552345276,-0.3695732057094574,0.15561780333518982,16.912500381469727,9.99375057220459,-38.64375305175781,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757223,-0.04307080805301666,0.6340979933738708,9.726823806762695,-0.5151117444038391,0.22617268562316895,0.24694208800792694,17.868751525878906,10.55625057220459,-38.681251525878906,-80.0,11353.0,0.0,-1.0,0.0,-1.0,-58.0,3902.0,0.0,-1.0,0.0,-1.0
1751964757288,0.04426721855998039,1.2251251935958862,8.934800148010254,-0.1928805559873581,0.08643736690282822,0.3430005609989166,18.39375114440918,11.58750057220459,-38.64375305175781,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757354,0.05144568532705307,2.0961127281188965,8.380861282348633,0.09269873052835464,-0.12476912885904312,0.20906847715377808,18.150001525878906,11.175000190734863,-37.53750228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757419,0.26081767678260803,1.643869161605835,10.713863372802734,0.23594652116298676,0.2890917658805847,0.0922405794262886,16.725000381469727,9.52500057220459,-38.45625305175781,-83.0,11392.0,0.0,-1.0,0.0,-1.0,-61.0,2955.0,0.0,-1.0,0.0,-1.0
1751964757484,-0.5072783827781677,1.6450655460357666,10.085747718811035,-0.12125665694475174,0.18646647036075592,0.0717766135931015,18.48750114440918,9.225000381469727,-37.72500228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757548,1.0241280794143677,1.5002998113632202,10.938788414001465,-0.11545344442129135,-0.15500694513320923,-0.49342602491378784,16.875,9.65625,-35.90625,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757615,1.1270195245742798,-1.290927767753601,14.22293758392334,0.1698204129934311,0.019853105768561363,-0.6449204683303833,14.96250057220459,9.506250381469727,-34.368751525878906,-85.0,11383.0,0.0,-1.0,0.0,-1.0,-52.0,3423.0,0.0,-1.0,0.0,-1.0
1751964757680,0.49172505736351013,-0.6185446381568909,11.190034866333008,0.9634864926338196,0.2419024556875229,-0.7276926636695862,17.08125114440918,10.350000381469727,-35.23125076293945,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757745,0.22013968229293823,-0.17946170270442963,8.774480819702148,0.33017241954803467,0.29046618938446045,-0.7037162184715271,18.95625114440918,10.125,-34.556251525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757809,0.22133609652519226,-0.5132604837417603,7.020541667938232,-0.41874781250953674,-0.2672533392906189,-0.5068650245666504,19.23750114440918,8.831250190734863,-33.30000305175781,-83.0,11470.0,0.0,-1.0,0.0,-1.0,-61.0,4517.0,0.0,-1.0,0.0,-1.0
1751964757874,0.20099709928035736,1.8041882514953613,6.770491600036621,-1.0473276376724243,0.023976443335413933,-0.449138343334198,16.575000762939453,10.03125,-31.181251525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964757940,-0.10289137065410614,-1.0241280794143677,8.800801277160645,-1.0610721111297607,-0.43921178579330444,-0.5568032264709473,17.100000381469727,15.375000953674316,-29.73750114440918,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1751964758004,0.3158525824546814,-1.6019947528839111,10.451848983764648,0.035735588520765305,1.4462224245071411,-0.4091266989707947,18.86250114440918,16.98750114440918,-28.068750381469727,-80.0,10987.0,0.0,-1.0,0.0,-1.0,-58.0,5084.0,0.0,-1.0,0.0,-1.0
1751964758069,-1.2011969089508057,-0.4737788736820221,8.053044319152832,0.08170316368341446,1.3796380758285522,1.486692190170288,21.11250114440918,15.99375057220459,-24.037500381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
