timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance
1717504777247,0.035333309322595596,1.4109368324279785,9.553168296813965,-0.057923704385757446,-0.021837901324033737,0.013715268112719059,20.375,6.950000286102295,-40.525001525878906,-84.0,12226.0,0.0,-1.0,0.0,-1.0,-58.0,3788.0,0.0,-1.0,0.0,-1.0
1717504777296,0.016169480979442596,1.391772985458374,9.765767097473145,-0.051798440515995026,-0.010519477538764477,-0.06418212503194809,19.9375,6.637500286102295,-39.67499923706055,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504777395,-0.19403375685214996,1.4492645263671875,9.6807279586792,-0.052197910845279694,0.003195790573954582,-0.07669897377490997,19.98750114440918,6.800000190734863,-40.47500228881836,-75.0,11142.0,0.0,-1.0,0.0,-1.0,-56.0,4579.0,0.0,-1.0,0.0,-1.0
1717504777444,-0.6383950114250183,1.4732192754745483,9.373507499694824,-0.09960214048624039,-0.03608580306172371,-0.04221106693148613,19.92500114440918,6.800000190734863,-40.625,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504777494,-0.8635700345039368,1.6552757024765015,9.221993446350098,-0.1801626980304718,-0.09267792850732803,0.10373003780841827,19.725000381469727,7.337500095367432,-40.837501525878906,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504777593,2.2301905155181885,0.16169479489326477,10.447280883789062,-0.5101280808448792,-0.43089908361434937,0.32024484872817993,17.9375,9.9375,-40.97500228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504777644,0.5042482614517212,0.2239772379398346,13.002058982849121,-1.6492942571640015,-0.917591392993927,1.1566098928451538,16.8125,11.96250057220459,-39.5,-80.0,11610.0,0.0,-1.0,0.0,-1.0,-67.0,2352.0,0.0,-1.0,0.0,-1.0
1717504777692,0.6234232783317566,0.16169479489326477,12.533742904663086,0.10945582389831543,-0.02516685053706169,0.1591237336397171,16.787500381469727,8.925000190734863,-39.41250228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1717504777790,-0.35153648257255554,1.66964852809906,10.27241039276123,2.0170764923095703,0.4799012243747711,-0.5066659450531006,17.962499618530273,7.050000190734863,-39.66250228881836,-76.0,11581.0,0.0,-1.0,0.0,-1.0,-64.0,4267.0,0.0,-1.0,0.0,-1.0
1717504777841,-0.5671295523643494,2.12419056892395,8.233260154724121,-0.10466214269399643,0.4442148804664612,-0.1782984882593155,19.4375,6.212500095367432,-40.35000228881836,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
