Predicted_X,Predicted_Y,True_X,True_Y
0.89135087,-1.3613508,1.0647998,-1.409655
0.8765197,-1.3748724,1.0647998,-1.4075116
0.9010503,-1.328969,1.0647998,-1.4044679
0.9252937,-1.2874584,1.0647998,-1.4010385
0.9289704,-1.2828606,1.0647998,-1.3989809
0.9255524,-1.2896188,1.0647998,-1.3959372
0.92184985,-1.2981839,1.0647998,-1.3923792
0.91744214,-1.3016776,1.0647998,-1.3903644
0.92322725,-1.292535,1.0647998,-1.3872778
0.930492,-1.2769841,1.0647998,-1.3838484
0.9302109,-1.2790762,1.0647998,-1.3818765
0.9283662,-1.2793858,1.0647998,-1.3787042
0.9312002,-1.2770227,1.0647998,-1.3752319
0.9261461,-1.2943048,1.0647998,-1.3733457
0.9139712,-1.3165717,1.0647998,-1.3700877
0.91959715,-1.3057292,1.0647998,-1.3665726
0.915064,-1.3074437,1.0647998,-1.3646864
0.918003,-1.295784,1.0647998,-1.3615141
0.92407554,-1.2891873,1.0647998,-1.3580847
0.94250643,-1.2541673,1.0647998,-1.3561556
0.9475336,-1.2419752,1.0647998,-1.3528976
0.9399363,-1.2580664,1.0647998,-1.3494682
0.94000876,-1.2575166,1.0647998,-1.347582
0.9405653,-1.2589571,1.0647998,-1.344324
0.939725,-1.2579873,1.0647998,-1.3408946
0.94580716,-1.2474402,1.0647998,-1.3389655
0.9550428,-1.2316391,1.0647998,-1.3356646
0.9540354,-1.2384698,1.0647998,-1.3322781
0.93959796,-1.2640306,1.0647998,-1.3304348
0.9410973,-1.2617366,1.0647998,-1.327091
0.95175,-1.2424607,1.0647998,-1.3237045
0.95266885,-1.2396004,1.0647998,-1.3218182
0.9547515,-1.2308798,1.0647998,-1.3184745
0.96372914,-1.2185929,1.0647998,-1.3150879
0.97302026,-1.2046471,1.0647998,-1.3132875
0.9618622,-1.2269007,1.0647998,-1.3096437
0.9560456,-1.2362399,1.0647998,-1.3065144
0.95599896,-1.2363335,1.0647998,-1.3047138
0.9582674,-1.230222,1.0647998,-1.3011987
0.9559559,-1.2338117,1.0647998,-1.2995268
0.9574443,-1.2310301,1.0647998,-1.2961403
0.9664135,-1.2190105,1.0647998,-1.2925822
0.96060133,-1.2311944,1.0647998,-1.2909533
0.9596386,-1.2342626,1.0647998,-1.2875237
0.9657017,-1.2248633,1.0647998,-1.2840514
0.96490216,-1.2242985,1.0647998,-1.282251
0.96290267,-1.2212871,1.0647998,-1.278993
0.9717641,-1.2078177,1.0647998,-1.2754779
0.98498034,-1.1842331,1.0647998,-1.2736773
0.9878198,-1.1856748,1.0647998,-1.2703766
0.9687798,-1.214389,1.0647998,-1.2668185
0.96474457,-1.2197949,1.0647998,-1.2651037
0.96661377,-1.2153405,1.0647998,-1.2617172
0.969319,-1.2096355,1.0647998,-1.2582449
0.9738442,-1.2015574,1.0647998,-1.2565302
0.9888009,-1.1754336,1.0647998,-1.2531435
0.99557376,-1.160375,1.0647998,-1.2494998
0.9781187,-1.1946807,1.0647998,-1.2479994
0.97032094,-1.206885,1.0647998,-1.2445699
