Pred_X,Pred_Y,True_X,True_Y
27.929886,7.878469,28.128788,7.7200003
28.076792,7.7627645,28.08987,7.7200003
28.111738,7.692907,28.06763,7.7200003
28.035332,7.808917,28.019258,7.7200003
28.101795,7.746279,27.978672,7.7200003
28.130741,7.6802897,27.95532,7.7200003
28.114864,7.6851788,27.90695,7.7200003
28.093979,7.7089024,27.867474,7.7200003
28.095945,7.7056456,27.822996,7.7200003
28.144142,7.6842537,27.757944,7.7200003
28.17768,7.679907,27.734592,7.7200003
28.151686,7.675283,27.689558,7.7200003
28.146524,7.675094,27.636183,7.7200003
28.107166,7.688166,27.59782,7.7200003
28.134884,7.685019,27.578917,7.7200003
28.130615,7.680115,27.534437,7.7200003
28.117851,7.7023587,27.489403,7.7200003
28.110252,7.675345,27.461603,7.7200003
28.089582,7.6881847,27.421572,7.7200003
28.080444,7.7037816,27.377094,7.7200003
28.087164,7.706107,27.353186,7.7200003
28.09793,7.675869,27.312042,7.7200003
28.077784,7.692644,27.267008,7.7200003
28.097588,7.6863546,27.242544,7.7200003
28.08342,7.6770477,27.198622,7.7200003
28.095995,7.685189,27.153585,7.7200003
28.053917,7.684355,27.131346,7.7200003
28.032722,7.6656675,27.087423,7.7200003
27.947561,7.674895,27.042389,7.7200003
27.985226,7.678638,27.022928,7.7200003
27.936848,7.677003,26.979006,7.7200003
27.788986,7.680974,26.933971,7.7200003
27.88534,7.6719546,26.905615,7.7200003
27.736757,7.672144,26.862804,7.7200003
27.700178,7.6677847,26.813877,7.7200003
27.712297,7.672045,26.799978,7.7200003
27.621822,7.683733,26.75661,7.7200003
27.55404,7.69071,26.710464,7.7200003
27.421429,7.6936226,26.687113,7.7200003
27.401396,7.6940947,26.643745,7.7200003
27.30709,7.701123,26.596487,7.7200003
27.351566,7.69184,26.575914,7.7200003
27.33997,7.7028384,26.533104,7.7200003
27.344177,7.7031326,26.485289,7.7200003
27.254305,7.727933,26.467497,7.7200003
27.222748,7.7142353,26.42135,7.7200003
27.263557,7.7019773,26.372423,7.7200003
27.091898,7.7059126,26.35352,7.7200003
26.959082,7.701985,26.298477,7.7200003
27.077625,7.689131,26.26623,7.7200003
26.943777,7.6844788,26.244547,7.7200003
26.862614,7.688643,26.200066,7.7200003
26.967352,7.6835732,26.155588,7.7200003
26.845613,7.6885843,26.1289,7.7200003
26.845545,7.686105,26.084421,7.7200003
26.77243,7.6821527,26.043278,7.7200003
26.75473,7.681851,26.02215,7.7200003
26.586073,7.6992307,25.969889,7.7200003
26.450136,7.705308,25.950985,7.7200003
26.35516,7.714529,25.910954,7.7200003
26.187838,7.747571,25.865917,7.7200003
26.287954,7.726016,25.841454,7.7200003
26.28112,7.737788,25.796976,7.7200003
26.079254,7.7722096,25.750828,7.7200003
26.116392,7.793651,25.730257,7.7200003
26.135935,7.768655,25.68522,7.7200003
26.087917,7.738652,25.644634,7.7200003
26.08916,7.7497215,25.62184,7.7200003
26.035576,7.743992,25.575136,7.7200003
25.9947,7.724303,25.532326,7.7200003
25.827436,7.762639,25.510641,7.7200003
25.823364,7.805966,25.449484,7.7200003
25.89606,7.751998,25.42224,7.7200003
25.941648,7.740574,25.4,7.7200003
25.657606,7.806969,25.4,7.7200003
25.817616,7.7620955,25.4,7.741196
25.047424,8.022941,25.4,7.766246
24.955563,8.148639,25.4,7.81201
24.71356,8.224318,25.4,7.8365774
24.150578,8.285937,25.4,7.8635545
24.142912,8.452304,25.4,7.907873
24.995714,8.174369,25.4,7.9314775
24.90231,8.5455065,25.4,7.960381
24.67879,8.717774,25.4,8.003254
24.880451,8.5848255,25.4,8.027341
25.476248,8.377934,25.4,8.056244
25.077177,8.782236,25.4,8.099117
24.715595,9.069483,25.4,8.132838
24.76409,8.805326,25.4,8.171858
24.865112,8.870194,25.4,8.210396
25.283627,8.800465,25.4,8.249415
25.132425,8.771237,25.4,8.289398
25.141548,8.933296,25.4,8.32601
25.017254,9.089922,25.4,8.364548
25.433954,8.786238,25.4,8.383817
25.260921,8.935297,25.4,8.422836
25.13576,9.089145,25.4,8.460893
25.188025,9.062521,25.4,8.502803
25.203232,8.989211,25.4,8.539413
25.388918,8.984085,25.4,8.557238
25.27458,9.09432,25.4,8.596257
25.130987,9.230855,25.4,8.636241
25.203646,9.204261,25.4,8.653583
25.276207,9.141539,25.4,8.692602
25.063957,9.391938,25.4,8.73114
25.10623,9.389236,25.4,8.7499275
25.20676,9.32792,25.4,8.787984
25.434093,9.151534,25.4,8.826522
25.156116,9.467086,25.4,8.847236
25.22849,9.459199,25.4,8.884329
25.363165,9.32187,25.4,8.931538
25.236229,9.406864,25.4,8.956105
25.15182,9.600124,25.4,8.980674
25.208132,9.618853,25.4,9.026919
25.511158,9.412319,25.4,9.051005
24.872583,10.208567,25.4,9.098697
25.368908,9.576378,25.4,9.135307
25.158146,9.893696,25.4,9.175291
25.456934,9.593098,25.4,9.1940775
25.586514,9.471579,25.4,9.232615
25.472633,9.694169,25.4,9.270672
25.135342,10.197446,25.4,9.289459
25.186403,10.067476,25.4,9.32896
25.171165,10.1718235,25.4,9.367017
25.371824,9.919683,25.4,9.384841
25.17381,10.161268,25.4,9.425305
25.308336,10.093694,25.4,9.4648075
