True_X,True_Y,PDR_X,PDR_Y,KF_X,KF_Y
2.037028262818162,0.0,14.601464306118816,54.9011171965038,16.034730050291056,55.1876048426294
2.1238304675843205,0.0,14.542519877196497,54.91823534833612,15.999132669687116,55.22862034235234
2.2162688043633088,0.0,14.48007424764899,54.930611597017,15.962638975685033,55.268954780209015
2.263615487743798,0.0,14.417628618101464,54.94298784569788,15.925262393836944,55.30861653515858
2.3504174039215275,0.0,14.355182988553956,54.95536409437876,15.887016257908984,55.34761395578938
2.4428557407005163,0.0,14.292737359006448,54.96774034305964,15.847913808894523,55.385955359121624
2.4868204562848786,0.0,14.23029172945894,54.98011659174052,15.807968194069003,55.423649029442714
2.577004340258735,0.0,14.167846099911433,54.9924928404214,15.76719246608573,55.46070321717461
2.6671882242325915,0.0,14.105400470363909,55.00486908910228,15.725599582111919,55.49712613777302
2.7134073926220856,0.0,14.042954840816401,55.01724533778316,15.683202403004351,55.53292597065778
2.803591276595942,0.0,13.974994317601537,55.02482468150551,15.639895765506795,55.568008284175875
2.8926479341672326,0.0,13.907033794386672,55.032404025227855,15.59569366338832,55.60238233756668
2.941121843950288,0.0,13.839073271171808,55.03998336895021,15.550609989263636,55.63605734874519
3.0279237601280173,0.0,13.771112747956924,55.04756271267256,15.50465853368302,55.66904249314664
3.11923487050444,0.0,13.703152224742059,55.05514205639491,15.457852984264282,55.70134690260522
3.166581553884929,0.0,13.635191701527194,55.06272140011726,15.410206924866063,55.732979664266445
3.2567654378587854,0.0,13.56723117831233,55.07030074383961,15.361733834801774,55.76394981953263
3.345822095430076,0.0,13.499270655097465,55.07788008756196,15.312447088093442,55.79426636304103
3.393168490222136,0.0,13.438617536375636,55.085908545965545,15.26251620970595,55.82394784526008
3.4822251477934265,0.0,13.377964417653823,55.09393700436913,15.211952601552658,55.85300305622395
3.5273170897803547,0.0,13.317311298932008,55.10196546277272,15.160767561697405,55.8814407365394
3.616373747351645,0.0,13.256658180210195,55.109993921176304,15.108972284075982,55.90926957650932
3.707684857728068,0.0,13.196005061488382,55.11802237957989,15.056577858246609,55.93649821528597
3.752776799714996,0.0,13.135351942766553,55.12605083798348,15.00359526916884,55.96313524005386
3.8440879100914183,0.0,13.074698824044738,55.134079296387064,14.95003539701033,55.98918918524139
3.934271794065275,0.0,13.014045705322925,55.14210775479065,14.895909016980896,56.014668531761174
3.9793637360522034,0.0,12.946839830934389,55.15197036328851,14.84108667918807,56.03962092659022
4.06954762002606,0.0,12.87963395654585,55.16183297178638,14.785580526277643,56.064054299823816
4.173259086595995,0.0,12.812428082157293,55.17169558028424,14.72940259250676,56.0879765267943
4.203696219584279,0.0,12.745222207768755,55.181558188782105,14.672564803399622,56.1113954275
4.293880103558135,0.0,12.678016333380219,55.191420797279974,14.615078975434598,56.1343187660587
4.38970040813325,0.0,12.610810458991681,55.201283405777836,14.556956815762149,56.15675425018504
4.431410670912481,0.0,12.543604584603143,55.2111460142757,14.49820992195297,56.178709530691705
4.521594554886337,0.0,12.476398710214585,55.22100862277357,14.438849781775756,56.20019220101375
4.612905665262759,0.0,12.40800552876039,55.23181768950109,14.378862384376566,56.221230035223286
4.66025206005482,0.0,12.339612347306192,55.24262675622861,14.318259283243401,56.24183028278039
4.761709073819623,0.0,12.271219165851996,55.253435822956135,14.257051921007344,56.26200013492279
4.839492601599967,0.0,12.202825984397798,55.26424488968366,14.195251629281909,56.281746724320136
4.883457317184329,0.0,12.134432802943582,55.275053956411185,14.132869628530383,56.30107712474859
4.973641201158186,0.0,12.066039621489384,55.28586302313871,14.069917027960592,56.31999835078544
5.064952311534608,0.0,11.997646440035187,55.29667208986623,14.006404825446522,56.33851735752336
5.112298706326668,0.0,11.92925325858099,55.30748115659375,13.94234390747625,56.356641040303835
5.199100911092827,0.0,11.857694600719622,55.317840378988755,13.87767736056931,56.374366615281396
5.292666474274381,0.0,11.786135942858234,55.32819960138375,13.812416610557305,56.391700965882514
5.34790431964969,0.0,11.714577284996867,55.338558823778754,13.746572970388637,56.40865091488286
5.425687847430034,0.0,11.643018627135499,55.34891804617375,13.680157640039877,56.42522322419502
5.518126184209023,0.0,11.57145996927413,55.35927726856875,13.613181706454,56.44142459467417
5.564345641186946,0.0,11.499901311412764,55.36963649096376,13.54565614350497,56.45726166594145
5.653402010169807,0.0,11.428342653551375,55.37999571335875,13.477591811988079,56.47274101622466
5.743585894143664,0.0,11.356783995690009,55.390354935753756,13.4089994596355,56.4878691622159
5.789805351121586,0.0,11.28765316071196,55.40025999501815,13.339941636193906,56.50264284740724
5.879989235095444,0.0,11.218522325733911,55.41016505428255,13.270428278853883,56.51706857441009
5.967918377675739,0.0,11.149391490755864,55.42007011354695,13.200469213080922,56.531152783757555
6.013010319662667,0.0,11.080260655777796,55.429975172811346,13.130074152831048,56.54490185380721
6.104321430039089,0.0,11.011129820799749,55.439880232075744,13.059252700786505,56.55832210065971
6.195632829003941,0.0,10.941998985821701,55.44978529134014,12.988014348611033,56.57141977809291
6.2407247709908695,0.0,10.872868150843654,55.45969035060454,12.916368477224221,56.584201077511196
6.330908654964726,0.0,10.803737315865606,55.46959540986894,12.844324357094509,56.59667212790965
6.422219765341148,0.0,10.73185320803216,55.476328482061966,12.771832274295491,56.608771168076586
6.46618448092551,0.0,10.659969100198753,55.483061554254995,12.69890194226508,56.6205049658758
6.557495591301933,0.0,10.588084992365307,55.48979462644803,12.625542963677251,56.6318802252441
6.6476794752757895,0.0,10.516200884531859,55.49652769864106,12.551764830686409,56.64290358607536
6.692771417262717,0.0,10.444316776698454,55.50326077083409,12.477576925190968,56.6535816241212
6.789718948240399,0.0,10.372432668865006,55.509993843027125,12.402988519115697,56.66392085090799
6.873139185210431,0.0,10.3005485610316,55.516726915220154,12.328008774712345,56.67392771366984
6.919358353599925,0.0,10.228664453198153,55.52345998741318,12.252646744878101,56.68360859529721
7.011796978967342,0.0,10.15173084335835,55.527651491388994,12.176803398116816,56.69291546700488
7.099726121547638,0.0,10.074797233518591,55.5318429953648,12.100488785437273,56.70185519485028
7.1436908371320005,0.0,9.997863623678786,55.53603449934061,12.02371284716931,56.710434579284765
7.235001947508422,0.0,9.920930013839026,55.54022600331641,11.946485413131676,56.7186603550522
7.325185831482279,0.0,9.843996403999224,55.544417507292216,11.86881620282074,56.726539191104294
