True_X,True_Y,Pred_X,Pred_Y,Pred_Smooth_X,Pred_Smooth_Y
4.088112,1.8217244,4.156981,2.0139804,4.156980991363525,2.0139803886413574
4.081201,1.8346262,4.1432247,2.0205479,4.147809982299805,2.0183587074279785
4.075051,1.8474681,4.131049,2.02771,4.135107648992208,2.02532261222971
4.0697684,1.8586932,4.115619,2.0352032,4.119685831343437,2.0332142110827696
4.063908,1.8721318,4.101011,2.041053,4.1042048871574055,2.0402081495666704
4.0590844,1.8835503,4.08322,2.0463514,4.087331923481495,2.0464066028423673
4.0547447,1.8945584,4.057688,2.0495498,4.066347034717798,2.051242839354899
4.0497227,1.9084026,4.0373783,2.0536695,4.045357809906261,2.055730383846822
4.044903,1.9220997,4.0206842,2.058587,4.025775885819445,2.0603277290442636
4.041356,1.9334314,4.0107384,2.0656688,4.009395482062682,2.0657421312981707
4.037202,1.9472189,4.005145,2.0748081,3.9964476856433597,2.0723332560122003
4.0344296,1.9589574,3.9990678,2.084101,3.9856329359341505,2.079750514130175
4.0317698,1.9729035,3.9916117,2.093262,3.975890931344496,2.087694792692161
4.029208,1.9846838,3.9836643,2.1024292,3.966764113333772,2.0960076095144147
4.0270095,1.9998935,3.9756207,2.1109014,3.958044258551134,2.1044142013115588
4.0250673,2.013542,3.9672422,2.1194248,3.949535965764527,2.1128968011810247
4.0225377,2.0315433,3.960937,2.1279058,3.941623042093387,2.121423398091431
4.020891,2.0467157,3.955243,2.136979,3.9342825643959976,2.1301015536880152
4.0188227,2.062289,3.949439,2.1465237,3.9273577487071294,2.138986748551298
4.015803,2.081495,3.9449005,2.156432,3.9209886494712975,2.148100428853246
4.012856,2.1010015,3.9411383,2.1669118,3.9151946675394718,2.157496019281173
4.010061,2.1195395,3.9377656,2.1767516,3.9099252187016478,2.167007825633841
4.0077558,2.1349044,3.9365084,2.1876972,3.905424365906764,2.1767934662490744
4.0048637,2.1527438,3.930069,2.197928,3.900733981188901,2.186689986221418
4.0029335,2.1675057,3.9193017,2.2086158,3.8952235160062103,2.1967461532124224
4.0003467,2.1852162,3.9115293,2.2187302,3.8894613273619165,2.206850239292238
3.9973774,2.2024572,3.908621,2.2304409,3.884173058779773,2.2172193960247526
3.995442,2.2166405,3.907497,2.2437901,3.879529386951627,2.2280370157530633
3.9926405,2.233387,3.9050725,2.2601223,3.8752613074927456,2.2396330218272453
3.9913776,2.2477052,3.903103,2.2748358,3.871372483893601,2.251688015461092
3.9889343,2.2649024,3.8981135,2.2914817,3.867430888313421,2.2643804799599163
3.986396,2.281416,3.895089,2.3069563,3.8636810516461026,2.2774827245883302
3.9841614,2.2979498,3.8914466,2.3209932,3.8600237683414833,2.2907707979742917
3.9818983,2.3147132,3.8882463,2.3348165,3.856497461608196,2.3041959154360194
3.9794705,2.3308432,3.8869793,2.349716,3.8533037726183235,2.317862243191769
3.9773612,2.3444893,3.8849032,2.3636389,3.8503142764129015,2.331633399127772
3.9749086,2.360945,3.884664,2.3790953,3.847703580112235,2.3456623148367552
3.9718497,2.3802197,3.887798,2.3949592,3.84578639754698,2.3599635756378845
3.9697442,2.3965886,3.8904586,2.410498,3.8444408677634,2.374474525982176
3.9676707,2.4104114,3.8927486,2.425098,3.8435710728351573,2.3890781834140955
3.9653208,2.4269116,3.89536,2.4400244,3.843161869398522,2.4037974317763404
3.9632032,2.440527,3.8982196,2.4558535,3.843193289488413,2.418709127453162
3.9606678,2.4568949,3.9011936,2.47039,3.843635280524086,2.4336708505415294
3.9586172,2.4706397,3.9033113,2.4852064,3.8443696384626973,2.4487041555573237
3.957707,2.4789066,3.9064445,2.499579,3.845465139406901,2.4637610673675536
3.9543042,2.5007942,3.911285,2.515677,3.847047701299544,2.4789976453153306
3.951717,2.5170755,3.915628,2.5307615,3.849032028229247,2.4943070396376643
3.9495833,2.530565,3.9195573,2.5467649,3.8513486622958686,2.509765181509796
3.9475412,2.5441585,3.9243908,2.562376,3.854051115193897,2.5253255196438693
3.944922,2.5606253,3.9276621,2.5772705,3.8569732705074573,2.540917268439812
3.9421666,2.5771143,3.929492,2.5915074,3.859973480741087,2.5564806500048762
3.939114,2.596555,3.931974,2.6070218,3.8631005250020616,2.5721260742084344
3.9365005,2.613099,3.9360104,2.6237788,3.866475785677987,2.5879523806867666
3.9341564,2.6267586,3.9396062,2.6386979,3.8700441054043866,2.6037924656432407
3.9307952,2.6443486,3.9443111,2.6552281,3.8738833871155824,2.619778491578637
3.927857,2.6591551,3.9449384,2.6708083,3.877637693045021,2.6358217603615874
3.9256268,2.6712973,3.947023,2.684222,3.8814290919151055,2.651739862571909
3.9237525,2.6833663,3.9500895,2.6955764,3.8853327140075944,2.667371042017151
3.9220297,2.697581,3.9517024,2.7092695,3.8892216024228747,2.6829196801083652
3.9211338,2.7091782,3.9549973,2.7241576,3.893228940994302,2.698485260840329
3.9198635,2.723387,3.9583025,2.737822,3.8973459263059174,2.7139675543873536
3.9194016,2.7353907,3.9611845,2.7521632,3.901529640353124,2.7294235352900524
3.9193304,2.749919,3.9653568,2.7649326,3.9058754520351373,2.7447285044021705
3.9191632,2.761731,3.9697595,2.7778628,3.910389619985135,2.7599014734618654
3.91966,2.7762687,3.9736242,2.792466,3.91501750671779,2.775079449899353
3.9201102,2.788254,3.979313,2.8044856,3.9198925893570666,2.7900582210839797
3.921211,2.80266,3.9844449,2.8193355,3.9249551872288255,2.80506755894685
3.9224055,2.8169346,3.9897323,2.8304126,3.9302040740427002,2.8198105519095926
3.9237134,2.8289042,3.9943888,2.8450038,3.935576789840006,2.8345719966472784
3.9257174,2.8433266,4.000181,2.8560987,3.941150999810766,2.8490786140841955
3.9278722,2.8555737,4.004292,2.871872,3.9467822479988754,2.8637036974055805
3.9295225,2.8669279,4.0092683,2.8838055,3.9525297716290466,2.8781442092196907
3.9327435,2.8811753,4.01386,2.8981688,3.9583535333933937,2.892595270328181
3.9353817,2.8928382,4.0194254,2.909245,3.964320008834494,2.9068022480113362
3.9382029,2.9045115,4.0243816,2.9226363,3.9703707909711947,2.9209535443230736
3.9388604,2.9067307,4.02857,2.9371204,3.9764377521729264,2.9351354406676817
3.9462445,2.9323735,4.0332184,2.9501665,3.9825501316384764,2.9492358457334293
3.9506145,2.9462428,4.0393586,2.9613657,3.9888153511770597,2.9631160214400296
3.9546783,2.957591,4.0447655,2.9740398,3.995165406160634,2.9768983329688
3.9601393,2.9708364,4.0510097,2.984756,4.00165568264828,2.990436712012576
3.9650967,2.981881,4.0554457,2.9949489,4.00813629963641,3.0037013530345584
3.97097,2.9948282,4.059847,3.0033054,4.014599568826622,3.016563246956751
3.9770012,3.007845,4.063901,3.0115178,4.021014325287489,3.029028731020879
3.982282,3.0186567,4.0719028,3.02251,4.0276800556424694,3.0413284880961737
3.9891047,3.0312228,4.0804243,3.0353854,4.034621559167509,3.053615519932553
3.9949427,3.041878,4.0889196,3.0467994,4.041820625212407,3.065780536023621
4.002103,3.0543714,4.0947976,3.057469,4.049061081681605,3.077773516512051
4.0085835,3.0646315,4.099095,3.0670066,4.056214706110529,3.089516893521289
4.01644,3.0769048,4.102468,3.0765882,4.063208848800717,3.1010264189743184
4.024781,3.0888228,4.1038404,3.0862958,4.069891618864596,3.112323771344826
