True_X,True_Y,Pred_X,Pred_Y,Pred_X_Smooth,Pred_Y_Smooth
5.0116835,3.508244,4.9557214,3.4636452,4.92047518491745,3.490304410457611
4.991663,3.5113287,4.94279,3.4750304,4.915286540985107,3.4915084573957653
4.9758205,3.5130632,4.9302917,3.4877224,4.910025930404663,3.4912639617919923
4.9621725,3.5139577,4.920215,3.4972491,4.905162551186302,3.490095181898637
4.948739,3.5145605,4.915124,3.4972599,4.899707078933716,3.487841486930847
4.9341455,3.514654,4.913712,3.4988844,4.893731997563289,3.485337184025691
4.928475,3.5145483,4.8977623,3.5002928,4.887460129601615,3.483026623725891
4.9048815,3.514232,4.888185,3.502351,4.88031743367513,3.4807188669840494
4.8806896,3.5133042,4.8737774,3.5011408,4.867478307088216,3.4789798259735107
4.8553314,3.512405,4.8626804,3.4890635,4.854356829325358,3.476094897588094
4.8332896,3.5119848,4.8565288,3.4784074,4.84045181274414,3.4714031060536703
4.810619,3.5114818,4.839697,3.4630508,4.827108160654704,3.46586233774821
4.7797008,3.5109408,4.822031,3.4552855,4.812065823872884,3.4601988951365152
4.753486,3.5105088,4.805926,3.4529893,4.797222137451172,3.4537853558858234
4.7336,3.5100234,4.7803197,3.4484103,4.782572078704834,3.4473320960998537
4.7164235,3.5094721,4.7631345,3.4375596,4.76694704691569,3.440545113881429
4.699233,3.508862,4.745968,3.4317565,4.7517389297485355,3.434606393178304
4.676691,3.5079093,4.7217164,3.4173455,4.735187657674154,3.4297753175099692
4.651348,3.50687,4.7200603,3.4141376,4.717609405517578,3.4256729443868
4.62887,3.505596,4.689489,3.4123082,4.699307123819987,3.4228542327880858
4.6062326,3.5045257,4.6910567,3.4026814,4.680172252655029,3.4208268960316977
4.589654,3.5032787,4.6780114,3.403494,4.66083173751831,3.418940766652425
4.570143,3.5020454,4.6538095,3.4005463,4.642461967468262,3.417879517873128
4.553573,3.5007915,4.6456556,3.41206,4.62397346496582,3.418038558959961
4.5398345,3.4996598,4.6144114,3.4165974,4.605904674530029,3.4189858436584473
4.5232368,3.4986749,4.592855,3.4168718,4.588667678833008,3.4212644418080647
4.5069017,3.497644,4.5651627,3.4207702,4.570250415802002,3.424031909306844
4.4930973,3.496748,4.535008,3.4248755,4.553129386901856,3.4273327191670737
4.4712157,3.4951646,4.515818,3.4246974,4.534993616739909,3.431335226694743
4.4547167,3.4940991,4.504773,3.4324915,4.516936842600504,3.435258674621582
4.435563,3.4928992,4.485807,3.4399452,4.50041987101237,3.4394944349924725
