True_X,True_Y,Pred_X,Pred_Y,Pred_X_Smooth,Pred_Y_Smooth
3.4232354,3.3953917,3.476956,3.2725446,3.4063675701618195,3.2431757748126984
3.4096317,3.3938632,3.45453,3.2650902,3.3964584403567843,3.2390485339694552
3.3930638,3.3920007,3.4317808,3.2552783,3.3867584705352782,3.2352185964584352
3.379171,3.3903484,3.4149904,3.2485027,3.3771814866499468,3.2314191948283804
3.365297,3.388726,3.3968105,3.239811,3.3675307432810464,3.2275476654370627
3.3458185,3.386376,3.380182,3.2313159,3.3576388359069824,3.2236969837775598
3.3262072,3.3838344,3.3588839,3.2202513,3.347905601773943,3.2197957379477367
3.309635,3.3815675,3.336807,3.2126122,3.3385875542958576,3.2159873803456622
3.2958603,3.379826,3.3171854,3.2060306,3.3195054054260256,3.2082425435384114
3.276541,3.3773737,3.2994587,3.2007492,3.3004459063212077,3.2004491964975994
3.2563736,3.3753626,3.2814116,3.1934252,3.2813230673472087,3.192795912424723
3.2322857,3.3724425,3.2613726,3.1849608,3.262247673670451,3.1853447437286375
3.2275348,3.371818,3.238936,3.1774888,3.2430765946706135,3.178052806854248
3.2003198,3.366304,3.2213736,3.1690795,3.2234241644541424,3.170778226852417
3.1825757,3.3616922,3.208135,3.1626704,3.2033214886983234,3.1637054602305095
3.1629803,3.3556087,3.1907237,3.156372,3.1829787572224935,3.156615702311198
3.1479173,3.3503695,3.1686375,3.14819,3.1624804655710856,3.1494126478830973
3.134863,3.3453083,3.1449382,3.140479,3.141857401529948,3.141972859700521
3.1243265,3.3409374,3.1288595,3.1367352,3.121492528915405,3.134638484319051
3.1094227,3.3342311,3.1092443,3.130432,3.1015896956125895,3.1273257732391357
3.096942,3.3281975,3.0853956,3.1221972,3.0823118527730307,3.120055850346883
3.084788,3.3218935,3.0573437,3.1141598,3.0632654349009196,3.112610165278117
3.072565,3.315365,3.031666,3.1062658,3.044610595703125,3.1051510492960612
3.0599408,3.3079047,3.009711,3.0979848,3.0264228026072186,3.0976173241933185
3.0459275,3.2985728,2.9901128,3.0891523,3.008748006820679,3.0900982856750487
