True_X,True_Y,Pred_X,Pred_Y,Pred_X_Smooth,Pred_Y_Smooth
4.015803,2.0814953,3.9703999,2.1635869,3.954882323741913,2.2133973836898804
4.012856,2.1010015,3.9654596,2.1799011,3.952054818471273,2.220166895124647
4.0100603,2.1195397,3.9601197,2.1945035,3.948855257034302,2.2271199226379395
4.0077558,2.1349046,3.9577086,2.2077527,3.9459547996520996,2.2335646585984663
4.0048637,2.1527438,3.9556777,2.221955,3.9430384238560996,2.2397879163424173
4.0029335,2.1675057,3.9501815,2.2353847,3.9407022366156945,2.2462399922884426
4.0003467,2.1852162,3.943231,2.2476351,3.9388022082192555,2.2526482173374722
3.9973774,2.2024572,3.9362805,2.25646,3.9370408852895102,2.259226687749227
3.995442,2.2166405,3.9294348,2.274323,3.933387279510498,2.272795232137044
3.9926405,2.233387,3.9200592,2.2896972,3.9299400170644123,2.286041498184204
3.9913776,2.2477052,3.9169502,2.298012,3.926444959640503,2.299367316563924
3.9889343,2.2649026,3.9109583,2.3082438,3.9232513427734377,2.3128070990244547
3.986396,2.281416,3.912668,2.323665,3.9202706972757975,2.3263587315877277
3.9841614,2.2979498,3.9141018,2.3359551,3.9172346115112306,2.3397191842397054
3.9818983,2.3147135,3.9123824,2.3513253,3.914858675003052,2.3532093365987143
3.9794705,2.3308434,3.9155958,2.367115,3.9129961649576823,2.3667970339457196
3.9773612,2.3444896,3.9137506,2.378595,3.91160249710083,2.379862674077352
3.9749086,2.360945,3.9076939,2.3943908,3.910801347096761,2.3928687731424967
3.9718497,2.38022,3.9098043,2.4093494,3.9104917844136557,2.406334129969279
3.9697442,2.3965888,3.910968,2.4252295,3.9109389146169025,2.42028489112854
3.9676707,2.4104116,3.9046402,2.4357915,3.911287768681844,2.434175380071004
3.9653208,2.4269116,3.907592,2.4499874,3.9114702860514323,2.448111359278361
3.9632032,2.440527,3.9083428,2.4602754,3.911998224258423,2.4621322472890217
3.960668,2.4568949,3.9085298,2.4703076,3.9124391237894693,2.4764533678690595
3.9586172,2.47064,3.908042,2.4847887,3.9128147919972736,2.490977414449056
3.957707,2.4789069,3.9123068,2.4999924,3.9134909311930337,2.5054808457692466
3.9543042,2.5007944,3.9176652,2.5175052,3.9140481472015383,2.5204695224761964
3.951717,2.5170758,3.9179008,2.5320222,3.9144997278849285,2.535510953267415
3.9495833,2.530565,3.9168396,2.5449948,3.9157620747884114,2.551198466618856
3.9475412,2.5441585,3.9203014,2.5616386,3.917163642247518,2.567294549942017
3.944922,2.5606256,3.9222093,2.5819318,3.9188987096150716,2.5838716506958006
3.9421668,2.5771143,3.9193857,2.5964558,3.920836591720581,2.6005067507425945
3.939114,2.5965552,3.917836,2.6119423,3.923120625813802,2.6172714551289875
3.9365005,2.6130993,3.9181626,2.6341796,3.925165224075317,2.6338831424713134
3.9341564,2.6267588,3.9177418,2.650851,3.9271957079569497,2.650298770268758
3.9307952,2.6443486,3.9235754,2.6711042,3.9296045144399008,2.666739575068156
3.927857,2.6591551,3.9286156,2.6914287,3.9323903719584146,2.6830355803171795
3.9256268,2.6712976,3.9343688,2.708932,3.935447327295939,2.699225982030233
3.9237525,2.6833663,3.937598,2.719834,3.9387476762135822,2.715016412734985
3.9220297,2.697581,3.9423025,2.7362592,3.9425219535827636,2.730651378631592
3.9211338,2.7091782,3.9429758,2.7491677,3.9465330123901365,2.745982281366984
3.9198635,2.7233872,3.9481225,2.7637396,3.9505729198455812,2.7605820655822755
3.9194016,2.7353907,3.954033,2.7786343,3.9544558048248293,2.774470504124959
3.9193304,2.749919,3.9586275,2.789435,3.9582799593607585,2.788045565287272
3.9191632,2.7617307,3.9661558,2.8044946,3.961808935801188,2.8005626996358237
3.91966,2.776269,3.9717145,2.8187883,3.9648122628529867,2.812361303965251
3.9201102,2.788254,3.9759998,2.8309803,3.9672767957051596,2.8237754344940185
3.921211,2.8026602,3.9780018,2.8419058,3.9693756262461344,2.8349273840586346
3.9224055,2.8169348,3.9787612,2.8531764,3.971282974878947,2.8455438137054445
3.9237132,2.8289042,3.975985,2.8591776,3.9727535883585614,2.855963102976481
3.9257174,2.8433266,3.9809377,2.87473,3.973807700475057,2.8658442815144856
3.9278722,2.855574,3.9815502,2.8791857,3.974794801076253,2.875561555226644
3.9295225,2.8669276,3.9794188,2.885911,3.9753554344177244,2.884941895802816
