True_X,True_Y,Pred_Raw_X,Pred_Raw_Y,Pred_KF_X,Pred_KF_Y
4.9341455,3.514654,4.90059,3.571234,4.900589942932129,3.5712339878082275
4.928475,3.5145483,4.878916,3.5790434,4.883248805999756,3.577482223510742
4.9048815,3.514232,4.8602157,3.5818992,4.863992425835419,3.581558906557002
4.8806896,3.5133042,4.840405,3.5789297,4.843256243834704,3.5809537389320445
4.8553314,3.512405,4.820963,3.575645,4.822883913491789,3.578429333958195
4.8332896,3.5119848,4.81253,3.5777671,4.808775589721006,3.5781754868081093
4.810619,3.5114818,4.8018284,3.5744357,4.796512193100927,3.576417810874763
4.7797008,3.5109408,4.7888556,3.575938,4.7841597840144425,3.5759969682776584
4.753486,3.5105088,4.776973,3.5770714,4.772155604001804,3.5761921892519206
4.7336,3.5100234,4.760592,3.5696423,4.758692245013171,3.573614596640408
4.7164235,3.5094721,4.7479224,3.554504,4.745555920249206,3.566618533166353
4.699233,3.508862,4.725403,3.5419369,4.729458158765294,3.557479093146297
4.676691,3.5079093,4.7046614,3.5261385,4.711818037302322,3.545848054109075
4.651348,3.50687,4.6801257,3.5198472,4.691934852254321,3.5352070541090805
4.62887,3.505596,4.650182,3.5147803,4.668822121671432,3.5256833442019704
4.6062326,3.5045257,4.6335125,3.50826,4.646903724327858,3.516645642754451
4.589654,3.5032787,4.6108565,3.5087287,4.624340049835563,3.509918654930803
4.570143,3.5020454,4.5899987,3.4991388,4.601770924655839,3.502382111207023
4.553573,3.5007915,4.5765767,3.4978487,4.581216224320592,3.4963910708319133
4.5398345,3.4996598,4.546616,3.4960265,4.558009669859567,3.4915536292796165
4.5232368,3.4986749,4.528684,3.4940145,4.535768158025951,3.4876244822834357
4.5069017,3.497644,4.515258,3.4972563,4.515572147273415,3.485815442275547
4.4930973,3.496748,4.4908886,3.5015466,4.4942715838341805,3.486037125428622
4.4712157,3.4951646,4.469805,3.502557,4.472898588521117,3.487057179508204
4.4547167,3.4940991,4.441727,3.5039232,4.449653524645685,3.488761883660853
4.435563,3.4928992,4.421531,3.4993834,4.426901253148434,3.4894161981259173
4.4245486,3.4921033,4.405027,3.4963958,4.4055762227783175,3.4895015707626866
4.402394,3.4904687,4.3840966,3.4976325,4.384333276418522,3.4901532917785683
4.388776,3.489621,4.364688,3.501453,4.3635608589552755,3.4919213753462044
4.3833933,3.4891267,4.3426247,3.5079486,4.342494267213246,3.4952923012931727
4.3584795,3.4872425,4.3305283,3.5048647,4.323778108520189,3.4974621924548566
4.3419185,3.4860246,4.3233542,3.5095408,4.30833917562704,3.5005719261107195
4.3280025,3.4848087,4.309136,3.515459,4.293796476756768,3.504760638518883
4.311412,3.4834678,4.2939157,3.5120287,4.279666184440941,3.507368741295074
4.2948627,3.4822152,4.2765617,3.5152276,4.265240785698812,3.510310341136311
4.27818,3.4807057,4.259533,3.5133798,4.250569912488419,3.512189015366797
4.26143,3.479244,4.239003,3.5091212,4.234712084151863,3.512509296768053
4.244403,3.47775,4.231095,3.5035594,4.2210968978560555,3.511161982088043
4.227514,3.4762664,4.2127247,3.5013742,4.206623157005196,3.5093035373950334
4.2192187,3.4754243,4.1988697,3.4952326,4.19254561960769,3.506020913772214
4.20801,3.4743886,4.182004,3.4874516,4.177982423317322,3.501147995233222
4.1748257,3.4713485,4.1642447,3.4736702,4.162738472918445,3.4934204511159552
4.1470294,3.4691916,4.143853,3.4717443,4.146207103095085,3.4864500803791882
4.1139493,3.4663887,4.123426,3.4645379,4.128567077805954,3.478852800502358
4.089184,3.4641926,4.095509,3.459454,4.108043590428219,3.471362221455996
4.072659,3.4629037,4.066092,3.451947,4.084714005381877,3.4634096327863113
4.0561137,3.4614365,4.038022,3.440248,4.059429773734004,3.4540373564802382
4.03948,3.4602115,4.009552,3.4254034,4.032490110985164,3.4427048724936453
4.0228267,3.4585733,3.9817681,3.4133236,4.00444817151313,3.430512103128352
4.003048,3.4571145,3.958243,3.4123504,3.976714946032573,3.4205909062754203
3.9861453,3.4556758,3.9245882,3.4000523,3.9467241612142834,3.409731775543272
3.9634917,3.453403,3.9000258,3.390586,3.917301282024833,3.398864594698427
3.9495215,3.452045,3.8721037,3.3798542,3.887606623407303,3.38771462506028
3.9410543,3.4511797,3.8507879,3.374347,3.8595059065486983,3.3777372619907053
3.9045737,3.447424,3.8281846,3.3662264,3.8325068606440587,3.3681148714908957
3.8827076,3.445014,3.8073232,3.3595676,3.8069457599632055,3.359194432518166
3.858272,3.4424016,3.7875066,3.353227,3.7829004796703836,3.3509625405298906
3.836757,3.440006,3.7800446,3.343456,3.7633662627600915,3.342415469579415
3.8150895,3.437875,3.7870376,3.339296,3.751405974924524,3.3350549707848005
3.7958546,3.4363427,3.771708,3.3364344,3.7399346450933235,3.329033231234973
3.768328,3.4336786,3.7510638,3.3306744,3.727287224662978,3.3233643765651513
3.7464209,3.4313269,3.7375872,3.3302157,3.7153369654981163,3.319338154282347
3.719431,3.4284682,3.7229576,3.3246484,3.703541664782523,3.3153272545375994
3.7000613,3.4265776,3.705256,3.3269153,3.6909490144538255,3.3133153135919837
3.6834948,3.4246962,3.6885843,3.3269672,3.6778402160697685,3.312365499206504
3.6638575,3.4227223,3.6694458,3.3302724,3.6635684964224136,3.313088957224559
3.6498027,3.4209888,3.6726959,3.3382478,3.6541019960942847,3.3163681489207653
3.6328146,3.4190598,3.6560967,3.3430243,3.643486042912574,3.320879613732552
3.6159635,3.417078,3.639093,3.3450246,3.6316853353858,3.3255859396671283
3.599071,3.4152095,3.6244428,3.3514733,3.6194246547531437,3.331494783504632
3.5767388,3.4126751,3.6106882,3.3604984,3.6069664139599182,3.338985947251477
3.5628679,3.4111533,3.6140246,3.3714325,3.5987791506726627,3.3482037709048456
3.5461893,3.409266,3.6215048,3.3760507,3.5952725258214513,3.357112290810067
3.5296855,3.4073608,3.6029177,3.384923,3.588832879038167,3.366739247962878
3.513162,3.4054842,3.5841534,3.392348,3.5797135610654407,3.376489647256321
3.4995255,3.4039853,3.5588074,3.3911295,3.566524047435122,3.383982844695545
3.4832797,3.402229,3.5330813,3.3913333,3.5497615140065237,3.3898456612290624
3.46957,3.400689,3.5064201,3.3874612,3.5297708654201387,3.393221428409607
3.4559083,3.3991423,3.5040095,3.3889549,3.513477237897977,3.395883917621821
3.4395304,3.3971992,3.492516,3.3893454,3.4980742359050336,3.3976863092078893
3.4232354,3.3953917,3.4770014,3.3888607,3.4824284316604324,3.398570381257918
3.4096317,3.3938632,3.4632206,3.3842657,3.4670614461979756,3.397649292205517
3.3930638,3.3920007,3.4417982,3.3766773,3.449964259675796,3.3944712999831625
3.379171,3.3903484,3.441252,3.379304,3.4368787916219956,3.392126424125595
3.365297,3.388726,3.4453976,3.3813944,3.4284647457947006,3.390447877974695
3.3458185,3.386376,3.4356835,3.376543,3.4203617509344664,3.3875921466206487
3.3262072,3.3838344,3.4183848,3.3696618,3.410444365750668,3.3832596720407433
3.309635,3.3815675,3.3997679,3.3624036,3.398558559254565,3.3776399238072035
3.2958603,3.379826,3.390602,3.3563962,3.3874301151895905,3.371333237187276
3.276541,3.3773737,3.3731492,3.3493178,3.374770681703754,3.364250746128251
3.2563736,3.3753626,3.3558931,3.342622,3.36084760824205,3.35669537199112
3.2322857,3.3724425,3.3359756,3.332161,3.345167469529407,3.3478396722348824
3.2275348,3.371818,3.3070216,3.3179712,3.325664913494796,3.336987307089203
3.2003198,3.366304,3.3025863,3.3152335,3.3093836080161356,3.3275247932482883
3.1825757,3.3616922,3.3195765,3.32727,3.301536528369044,3.3232086247930415
3.1629803,3.3556087,3.2935793,3.316596,3.2896393140550355,3.3173869437736303
3.1479173,3.3503695,3.2851458,3.3134089,3.2787987559802714,3.3122233888911943
3.134863,3.3453083,3.2667968,3.3041763,3.2662398401287716,3.306041976167051
3.1243265,3.3409374,3.236862,3.2918513,3.249161133684521,3.2981832205276027
3.1094227,3.3342311,3.2306004,3.2890885,3.2344367473023254,3.2914129189823167
3.096942,3.3281975,3.214212,3.279821,3.2191300134317573,3.28390061707931
3.084788,3.3218935,3.2245464,3.2861066,3.2103355692610633,3.2798376003458323
3.072565,3.315365,3.1997547,3.2739494,3.197906451302335,3.273900125863292
3.0599408,3.3079047,3.1614492,3.251191,3.1787855899688755,3.2635683838139307
3.0459275,3.2985728,3.1194828,3.2287445,3.1530277144888847,3.249594747711344
3.0178938,3.2801228,3.0941544,3.2144074,3.126092759563063,3.234724737127023
2.9888816,3.261281,3.0530045,3.189398,3.0942151749115427,3.216423895849478
2.9675663,3.2477033,3.018048,3.1709573,3.0599489691968964,3.1970477397919153
2.9517977,3.2374182,2.9822803,3.1464446,3.023679834096861,3.175326330615984
2.9314115,3.2242277,2.9808905,3.1428008,2.9949351869223833,3.1572194162429446
2.9140594,3.2131827,2.946031,3.1127372,2.964052631212189,3.135433432563274
2.8996875,3.203702,2.9214127,3.0830235,2.934114542237356,3.110703217153333
2.8784757,3.1894875,2.906411,3.0522118,2.9075918467358997,3.0833196998816312
2.8573866,3.175369,2.8791163,3.0033007,2.8808220158645756,3.049114308318103
2.845559,3.1674902,2.8702002,2.9831836,2.8586526761832145,3.0168300196249453
2.8293896,3.156186,2.8661368,2.9801927,2.8416591567844427,2.990908302735106
2.8174276,3.148111,2.8501394,2.9605684,2.825866784408551,2.9662205665408523
2.8006902,3.1368876,2.8345797,2.9401636,2.8110681614166912,2.9424349253237585
2.7848725,3.1261077,2.8252823,2.9347522,2.798610969540409,2.923364085265886
2.77196,3.1174016,2.8152657,2.9241512,2.787816736055841,2.9069445323705225
2.763669,3.1116867,2.8146884,2.933251,2.7807477330554358,2.8978557760890964
