True_X,True_Y,Pred_X,Pred_Y,Pred_Smooth_X,Pred_Smooth_Y
4.504962,1.3900408,4.340183,2.1883261,4.340182781219482,2.188326120376587
4.491568,1.4032011,4.3401914,2.1883323,4.340187072753906,2.1883292198181152
4.4784107,1.4164348,4.340207,2.1883376,4.34019947055317,2.188334653264699
4.4651017,1.4302502,4.3402066,2.1883457,4.340206520143149,2.188342368091501
4.4542265,1.4412525,4.3402057,2.1883526,4.340209406322679,2.1883500581723414
4.441584,1.4539233,4.3402085,2.1883612,4.340212046319968,2.1883583275311596
4.429193,1.4664959,4.340213,2.1883566,4.3402152532033815,2.1883612575894444
4.4187636,1.4767472,4.3402314,2.1883578,4.340224344795441,2.1883633904419186
4.406646,1.4886793,4.340251,2.1883585,4.340237278035595,2.1883649081345116
4.394608,1.5003306,4.3402524,2.1883717,4.340246695330606,2.188370091726678
4.384693,1.5103952,4.34026,2.1883807,4.340255651592086,2.188376462640017
4.37226,1.5220755,4.340257,2.188389,4.340261350277601,2.188383434329134
4.3618865,1.5319444,4.340266,2.1883945,4.340267887386233,2.188390071703005
4.3493695,1.5436945,4.340277,2.1884022,4.340275498103713,2.1883969906657628
4.3368907,1.555363,4.340296,2.1884012,4.340285662749642,2.1884021273394496
4.3243923,1.5670692,4.3403025,2.1883976,4.3402951318192375,2.1884053527631577
4.3140097,1.5766015,4.3403125,2.1884034,4.340304757480597,2.1884090499189006
4.301663,1.5880752,4.340317,2.1884098,4.340313373138555,2.1884132566976584
4.2916064,1.5973365,4.340312,2.1884139,4.340319490572101,2.188417417747667
4.279376,1.6084579,4.3403115,2.1884208,4.340324390896059,2.1884220571028057
4.269257,1.6175625,4.340314,2.1884248,4.340328806086185,2.1884265904487403
4.2572265,1.6284573,4.3403244,2.1884153,4.3403341662255635,2.1884287979824304
4.2532563,1.6321734,4.340334,2.188415,4.340340153528384,2.188430570650964
4.237151,1.646628,4.3403335,2.1884158,4.34034513511926,2.188432131282726
4.225084,1.6577208,4.3403306,2.1884167,4.340348928526058,2.188433552524189
4.2156315,1.6660455,4.34033,2.1884134,4.340352063362154,2.188434250164505
4.2043295,1.6757643,4.3403354,2.1884084,4.3403554278254175,2.1884341088389343
4.1933413,1.6857253,4.3403335,2.1884174,4.3403580409274225,2.1884351222021112
4.1845202,1.6942202,4.3403497,2.1884205,4.3403623425975795,2.188436360434651
4.174149,1.7044401,4.340351,2.188416,4.340366256385539,2.188436841950814
4.1659408,1.7130911,4.340346,2.1884243,4.340369026391211,2.1884382294865605
4.156327,1.7237002,4.3403506,2.1884184,4.34037198185387,2.1884387214792818
4.1470547,1.734675,4.340352,2.18841,4.340374718091346,2.1884381581381853
4.1394844,1.7441908,4.34035,2.188412,4.340376890186534,2.1884378141602863
4.130639,1.7558051,4.3403573,2.1884134,4.340379552375673,2.188437612916797
4.1236377,1.7657417,4.3403563,2.1884086,4.34038178812039,2.188436880390425
4.1151204,1.7776036,4.340362,2.1884003,4.340384338504662,2.1884353055370602
4.1084733,1.787907,4.3403563,2.1884062,4.340386009377296,2.1884344314990725
4.1005645,1.8007033,4.3403683,2.1883907,4.340388644607113,2.1884320561993835
4.0941486,1.811189,4.3403625,2.188391,4.340390432279009,2.1884298625059664
4.088112,1.8217244,4.340371,2.1883802,4.340392818652414,2.1884267893226634
4.081201,1.8346262,4.3403583,2.1883812,4.340393743851736,2.1884240126052004
4.075051,1.8474681,4.3403583,2.1883721,4.340394524452614,2.1884205883061147
4.0697684,1.8586932,4.340363,2.18837,4.3403956028661534,2.1884171978470346
4.063908,1.8721318,4.3403535,2.1883643,4.340395689408291,2.18841352289646
4.0590844,1.8835503,4.3403563,2.1883512,4.340395947021986,2.188408946699715
4.0547447,1.8945584,4.3403506,2.1883473,4.340395628336366,2.188404340141358
4.0497227,1.9084026,4.3403506,2.188345,4.340395262263142,2.1883998265363123
4.044903,1.9220997,4.340346,2.1883297,4.340394457851652,2.1883943321668196
4.041356,1.9334314,4.340356,2.1883106,4.340394456736859,2.1883876221459446
4.037202,1.9472189,4.340338,2.188295,4.340392970832087,2.1883800578121497
4.0344296,1.9589574,4.3403363,2.1882887,4.340391360617974,2.188372460720603
