True_X,True_Y,Pred_Raw_X,Pred_Raw_Y,Pred_KF_X,Pred_KF_Y
2.7212899,1.7289199,2.8084965,1.7844387,2.8084964752197266,1.7844387292861938
2.7140892,1.7398384,2.80682,1.76024,2.807155132293701,1.765077829360962
2.7070282,1.7508774,2.80346,1.7810603,2.8042550333925105,1.7743154398308256
2.700768,1.7619542,2.784899,1.7783222,2.7904958176509043,1.7773977547015665
2.695496,1.7715403,2.7524345,1.7785593,2.7645935891853464,1.778894176121519
2.6897204,1.7813019,2.7371159,1.7972296,2.7433853824482552,1.7896002435885605
2.6838949,1.793315,2.6999133,1.799837,2.71413525165756,1.796824125825691
2.681299,1.7986281,2.6878808,1.8148891,2.6917905392291472,1.8075794485884236
2.672852,1.817616,2.696693,1.8088707,2.6817015356074068,1.811915725791143
2.6688771,1.8280433,2.666691,1.8168552,2.6647606956236616,1.8174981586375805
2.668231,1.8297025,2.6399527,1.8260747,2.6445192045516737,1.8243080083686747
2.661164,1.8485805,2.632538,1.8307176,2.628288063290328,1.8304686918371238
2.6572764,1.8590384,2.6190674,1.8312075,2.613026721340375,1.8348955681255181
2.6534183,1.8697042,2.602352,1.820344,2.5975156639487484,1.8347089029685304
2.6505404,1.8805665,2.5891228,1.8371109,2.5828033194902456,1.8389130798914635
2.6462243,1.8946407,2.5704894,1.8481805,2.5672038020373504,1.8449663708242414
2.6418633,1.9106855,2.5664728,1.8430583,2.554867828718245,1.8480827747656483
2.6393273,1.923349,2.5558217,1.8416381,2.543383100540909,1.8498084467307778
2.6364107,1.935957,2.5438204,1.838509,2.532201659652785,1.8499542487398453
2.6344657,1.9488637,2.5379422,1.8456551,2.5228422051944177,1.8515328421584558
2.6325266,1.9597578,2.5293365,1.8701526,2.5142396596233794,1.8589191178476612
2.6307395,1.974505,2.5187516,1.8767111,2.505684003769065,1.8665100030875812
2.6291435,1.9872892,2.5210724,1.9171311,2.5004714761849383,1.883082973604166
2.6287901,1.996813,2.5304368,1.9401039,2.4998589542592446,1.9026299532060884
2.6276667,2.0094805,2.5195076,1.937152,2.4977204058297877,1.9177291848425642
2.627265,2.020253,2.5393472,1.9800717,2.5021662627650043,1.9408497502520843
2.627351,2.0332925,2.516064,2.0096283,2.5007913480617465,1.9671620137216874
2.627352,2.0428998,2.5069244,2.025903,2.497973734172621,1.9924836338800436
2.6280608,2.0582342,2.5106208,2.013172,2.497203875171067,2.0091407843912505
2.628935,2.069691,2.5058887,2.023521,2.4959140758275473,2.024303550162982
2.6300166,2.082541,2.499996,2.0498743,2.493804331708082,2.042362204626235
2.6309922,2.095277,2.526113,2.0592265,2.4993125862481262,2.0584333422435197
2.6329846,2.1100788,2.5334723,2.0749896,2.506334874004218,2.074454420324462
2.6336389,2.1138084,2.524142,2.0924401,2.510125233904791,2.0908697584450255
2.6370382,2.1337702,2.516915,2.1082976,2.5115742867444184,2.1071996116410814
2.6391084,2.1445525,2.5271084,2.1569762,2.5155142232190513,2.132027244015379
2.6411293,2.1535668,2.5254016,2.168885,2.5184237506428824,2.1544368916886154
2.6429656,2.162616,2.5257223,2.1711311,2.5209247764127376,2.172131643631235
2.6453016,2.173538,2.5271757,2.190973,2.5233363561716624,2.1903491322508204
2.6484103,2.1820917,2.5196376,2.2003906,2.5232950653346564,2.206290664433287
2.6513345,2.1919281,2.528448,2.189409,2.525426669155737,2.2149689781117425
2.6543539,2.200001,2.5335977,2.207414,2.528463157195541,2.2251024649683004
2.6575239,2.2092152,2.5193489,2.229362,2.5271794466544533,2.237643870078331
2.660331,2.216916,2.5244977,2.2506206,2.5272759312256907,2.252145203870374
2.663506,2.2261765,2.5101314,2.241984,2.523485765353584,2.260540812991269
2.666901,2.2373822,2.52806,2.2392223,2.524858510465634,2.2653072442089317
2.6700068,2.2468684,2.5332124,2.2792978,2.5273421334768313,2.2782991074944188
2.6725423,2.2565002,2.5412333,2.2833931,2.531498544792186,2.289004247911696
2.6766164,2.269117,2.5642123,2.2857423,2.5409484008982344,2.2973098832863115
2.6813073,2.2848554,2.604232,2.341886,2.559281853842903,2.31767338574405
2.6853447,2.2993898,2.6441054,2.3748326,2.584972448354422,2.3422561037221077
2.6887095,2.309071,2.617672,2.3486934,2.599313258389191,2.3548347551109474
2.6920643,2.3203871,2.658105,2.3351338,2.6211788627113215,2.360346142394966
2.695995,2.3333118,2.6498814,2.3507388,2.636599961600119,2.367526429827708
2.6991215,2.3429563,2.6331463,2.3520913,2.644127538830393,2.3725383952765253
2.7032342,2.35602,2.641488,2.3665335,2.651445838203342,2.3792290519771853
2.70711,2.368984,2.6449742,2.3925524,2.657379875817054,2.390483162675396
2.7121453,2.3869967,2.6495695,2.372614,2.6624872106246276,2.3936646411950275
2.715346,2.39838,2.6675942,2.3954153,2.6704739868360403,2.401164676105938
2.7187567,2.4099307,2.7121155,2.4146,2.6878983616341663,2.4114974818199393
2.7212005,2.4181864,2.7243986,2.4234695,2.7049098666754046,2.4215671354458683
2.7239609,2.4278972,2.715401,2.4283075,2.7158729497038947,2.4303426171060285
2.7268782,2.4377353,2.7091138,2.4191632,2.7223095658127536,2.4343565528966
2.729952,2.4474375,2.7289715,2.4459271,2.731746573180837,2.443732216921684
2.7328572,2.4572253,2.7245457,2.4444377,2.7374538908738595,2.4503526661126687
2.736961,2.4702795,2.7513156,2.4820802,2.748169761495807,2.4648533603709017
2.7422194,2.4881556,2.7597194,2.512693,2.7584022802857406,2.484227045725375
2.7459161,2.5012136,2.7496924,2.4764054,2.7633906269462503,2.490147806567599
2.7497091,2.5143733,2.7314148,2.4672983,2.7617719213181275,2.4916128421066484
2.7539315,2.5290534,2.7316048,2.5151198,2.7594591282593792,2.5042585708639162
2.7566648,2.538851,2.7357721,2.5243177,2.757769309083335,2.516420683124417
2.7593348,2.5485592,2.7207081,2.4996383,2.751738679010248,2.519257810855472
2.7620194,2.5582488,2.725225,2.4950912,2.747271943916878,2.5194109815808186
2.7651026,2.5695171,2.733306,2.4972026,2.7452371510466596,2.5191411962296746
2.76722,2.5775878,2.7445502,2.5383472,2.746214255959326,2.528851815028827
2.7698755,2.5873368,2.7515194,2.5577538,2.7486934368698823,2.54146142481736
2.7725182,2.5971887,2.7122135,2.5568411,2.7403607243559627,2.5511632042556824
2.775414,2.6070616,2.722122,2.577471,2.7357134686817823,2.5639392721633074
2.7776978,2.6152353,2.7556572,2.6076672,2.740522787158565,2.5817881804543705
2.7804816,2.6250741,2.741724,2.6068206,2.7410154655257704,2.595745700262829
2.7830782,2.6349046,2.7404053,2.597877,2.741061976565894,2.6041437076191714
2.7872097,2.6494236,2.7259233,2.6209993,2.7372862252631154,2.6161490387690463
2.790387,2.660772,2.7106152,2.6441352,2.730059748814532,2.631249762103777
2.793998,2.6735642,2.717629,2.6639297,2.7258075936064348,2.648072453754247
2.7965555,2.6831024,2.729587,2.7014,2.725477633351489,2.6709008803090692
2.799286,2.6927428,2.724086,2.7284284,2.7239541658756594,2.695999203018748
2.8017724,2.7023034,2.7096963,2.756219,2.719073171105615,2.7230475735460065
2.8038554,2.7106204,2.7479155,2.7929041,2.7250959836210997,2.753889493943259
2.8063383,2.7203503,2.7331822,2.8112302,2.7265712784097444,2.782959951737011
2.80848,2.7285657,2.7082908,2.8324518,2.721409754178796,2.8110657105051544
2.8106086,2.7367237,2.7398117,2.882536,2.7253309097762206,2.8457374890463267
2.813175,2.746328,2.7366462,2.9109902,2.7279565538336437,2.880198707379319
2.815765,2.7560513,2.7237303,2.9104214,2.7268544291751047,2.906688327018076
2.8179903,2.764111,2.7332294,2.924579,2.728402844233064,2.9300984453630194
2.8205366,2.7738757,2.7912002,3.0012197,2.744882718262019,2.967208235212396
2.8227172,2.7834795,2.8779163,3.0468054,2.781499050305985,3.0078404370510334
2.8251262,2.7932792,2.8021111,3.030132,2.7924399483879414,3.034993516962298
2.827553,2.8031764,2.799626,3.0293772,2.8002437054477065,3.054666026705594
2.830188,2.8129995,2.9143724,3.0297146,2.835973103664567,3.068313314770364
2.8340757,2.8279,2.9129484,3.0458114,2.865005795551478,3.0811172209398587
2.8368871,2.8393664,2.81462,3.0449038,2.8625954592181455,3.0889806149621792
2.8405192,2.853957,2.8048308,3.0128646,2.8564126852416107,3.08472137470721
2.841673,2.858751,2.8613238,3.0143313,2.86462761414089,3.0791967547411123
2.8453774,2.874994,2.8451428,3.0014586,2.866339700456731,3.0692585733805298
2.8473885,2.885256,2.8084323,2.9947362,2.857195350740438,3.057554885302152
2.8494534,2.8959181,2.8623085,3.0022917,2.862647135094586,3.0484700917684093
2.8518734,2.9067588,2.8425837,3.0172975,2.861506006435327,3.0439064691211373
2.855413,2.9195087,2.8607907,2.9784467,2.8646942255622627,3.029359183551912
2.8590965,2.9303286,2.9027395,2.973188,2.877862464849252,3.015282583643785
2.8634057,2.942718,2.9354842,2.9710631,2.897103153114035,3.0027116463803223
2.867504,2.9531736,2.9164152,2.9507518,2.907806838797136,2.9869013234868995
2.8727574,2.9669082,2.8517964,2.9277947,2.8991558993536204,2.9678337660192162
2.8807917,2.9854927,2.910699,2.8943768,2.9063397170605323,2.94347681572651
2.8862805,2.9972956,2.9500313,2.943837,2.9220930928745315,2.9365247327996586
2.8914566,3.0070026,2.9598117,2.9525223,2.937359259958835,2.933940532981636
2.896443,3.0167172,2.9398153,2.9606884,2.9442725490159227,2.93488011300691
2.9042478,3.029548,2.9366639,2.9290824,2.948384115110213,2.928305892820718
2.9108725,3.0407157,2.962215,2.9357378,2.9576484099671725,2.9252190856625533
2.9209743,3.0564873,2.968972,2.9249585,2.966432948202788,2.920526124691984
2.9294903,3.068655,2.991263,2.9139392,2.978844966807839,2.9143501571748076
2.9367692,3.078936,3.0207667,2.9652336,2.9962012103677993,2.923178223123945
2.9456933,3.091012,2.976476,2.9434652,2.998390233068066,2.9256263641861437
2.9549904,3.1026914,2.98576,2.969212,3.001591238833721,2.9348492508212742
2.9623265,3.1113625,2.9993093,2.9746656,3.006888287061231,2.94440779075895
2.9696732,3.1197603,3.0015948,2.9693096,3.0111069603990104,2.95123138630703
2.983809,3.134676,3.0179296,2.969249,3.018126561968248,2.9569506594764703
2.9929066,3.1439552,3.0000331,2.9734535,3.018626805515214,2.9627467460458092
3.0009215,3.1514153,3.0449548,3.0159392,3.030021893758023,2.9785431672122438
3.0091674,3.1590712,3.067381,3.0162036,3.0448738932862414,2.991717648653116
3.0204506,3.1691272,3.0788188,3.0458667,3.0596986903034398,3.010142552853773
3.0347254,3.1809325,3.1111507,3.108173,3.0798338639894403,3.041408881647253
3.0431426,3.1876917,3.085287,3.0893304,3.0891509583493204,3.0621454284309624
3.05201,3.1941557,3.0952635,3.1088164,3.098491848220234,3.0836000067265394
3.0594034,3.1993203,3.1357687,3.160282,3.1158534200195676,3.1138671332022265
3.0688436,3.2057512,3.1423953,3.1789107,3.131174870269279,3.142876582103838
3.0766008,3.210958,3.1368432,3.1860392,3.141472305861841,3.167552448910536
3.0815017,3.2139695,3.1323164,3.1717303,3.147717499604215,3.182750213415538
3.094057,3.2216783,3.1613412,3.227934,3.159324186699297,3.2082412711606687
3.1021402,3.2262967,3.1634998,3.257092,3.168539157646204,3.2354476111425394
3.1104307,3.2308967,3.165407,3.258375,3.1756505336250282,3.256710800048167
3.1187625,3.235332,3.1907718,3.2727017,3.187138731625826,3.2762251325853495
3.128782,3.240372,3.20199,3.283871,3.1986959722303783,3.2934230444381094
3.1371253,3.2444172,3.1749554,3.2768788,3.200293882654276,3.3039317687837078
3.1491594,3.250136,3.1556885,3.2560854,3.1954648989394574,3.305219893650099
3.1596575,3.2544796,3.1584492,3.2526813,3.191090629293636,3.3033931800647216
3.170349,3.258904,3.133702,3.2432282,3.1801373273220324,3.297624178662257
3.1829855,3.2634418,3.136846,3.2455542,3.171083581922481,3.2918800577695753
3.193806,3.267177,3.1356714,3.2491384,3.162773081312015,3.286793308683873
3.204582,3.2707126,3.1114364,3.218077,3.1492590472075803,3.2734708034676516
3.2188935,3.2751093,3.1075947,3.2140079,3.136819147647439,3.2604375724096215
3.2352793,3.2794397,3.1198952,3.227936,3.129721874289863,3.2526661312441267
3.2516725,3.2835784,3.107946,3.2183132,3.1209788323215544,3.243460317133834
3.2644625,3.286173,3.105833,3.2278416,3.1134676542240167,3.2381841326096867
3.2752116,3.2883844,3.1147897,3.2300308,3.1099668976471744,3.2344614896664976
3.2862132,3.290378,3.1120555,3.2327309,3.106851852899301,3.23224712677328
3.2972145,3.291965,3.1321402,3.2693615,3.1100000339315894,3.2402034727608284
3.3101306,3.293662,3.1274817,3.2797081,3.111958924499336,3.2499052319272472
3.3213305,3.294829,3.0915582,3.2555337,3.104613908000966,3.2518989585919136
3.334327,3.2959986,3.053274,3.2232544,3.0886811233100167,3.2450751658443666
3.3456252,3.2964697,3.0438786,3.1908622,3.0730959904818373,3.2307303741233273
3.356798,3.2971148,3.0619085,3.1840749,3.06517314208573,3.216828367296122
3.3660989,3.2972875,3.0991116,3.1869304,3.0689184473368467,3.2060470327451855
3.374961,3.2971203,3.0931253,3.1960878,3.0712809184730117,3.1997419196747514
3.3870523,3.2965367,3.1256206,3.2062225,3.082358181480327,3.1975928941042797
3.4054046,3.2956848,3.149017,3.2074177,3.098317888176393,3.1966495639638284
3.4184303,3.2952309,3.1936047,3.2292464,3.123708139388695,3.2020715593592937
3.430103,3.2949705,3.1710892,3.2163374,3.139264763514908,3.20374725933508
3.440043,3.2947001,3.1832156,3.1945572,3.1551481052491965,3.199776672217199
3.451833,3.2944539,3.1582294,3.1725554,3.1614289927339136,3.190893038752939
3.4636104,3.2942297,3.2217782,3.2113795,3.1825538357737084,3.1937729706042495
3.4753458,3.2940495,3.2417912,3.2239308,3.2048957370788833,3.1998572307618924
3.4854417,3.2939448,3.2184663,3.204452,3.216720733445932,3.200185886106053
3.4957168,3.2938776,3.2070696,3.1809251,3.2225438585143973,3.194443876771851
3.5058436,3.2937462,3.1953015,3.1604342,3.2231747643807243,3.184327655409765
3.5162153,3.293691,3.1840835,3.1448967,3.219637620629354,3.171876226621283
3.5264695,3.293666,3.2417648,3.1823006,3.2307333385752384,3.171417463527287
3.5366845,3.2936761,3.2932832,3.1877246,3.252817512162135,3.1729144624879466
3.547029,3.293626,3.3150246,3.2105806,3.2763674265474503,3.180562860267331
3.5637693,3.2934918,3.3283396,3.2234232,3.2987282574554895,3.1907225258064265
3.5788214,3.293329,3.354215,3.2274628,3.323145731713427,3.200539570672748
3.5889554,3.293258,3.373537,3.2347295,3.347425712562385,3.2107249113963943
3.6007085,3.293145,3.3469083,3.2046618,3.3594043386773875,3.211312782061741
3.6126823,3.293092,3.3833306,3.2086732,3.3772909996216645,3.212539754936149
3.6245136,3.2928877,3.401641,3.2228177,3.3955205160896327,3.2169940829766284
3.6348214,3.2928398,3.4601448,3.2627168,3.4245109508402054,3.2309357171351696
3.6450913,3.292683,3.4733715,3.2721646,3.450751164755213,3.244924420083103
3.6553528,3.292627,3.4499474,3.2576265,3.46488105501478,3.2525046671984863
3.6638653,3.2926724,3.4601529,3.2420971,3.4774113233185546,3.2542420856299215
3.6738262,3.2927227,3.4456513,3.2469778,3.4822134956831188,3.2563341909167374
3.6788955,3.2926958,3.4667392,3.267893,3.4898666363776263,3.2629861001509073
3.692303,3.2928054,3.4914422,3.2597194,3.5010868349419275,3.2659519470284835
3.7006814,3.2928703,3.5057275,3.282277,3.512737404814177,3.2737985691524636
3.7091312,3.2929308,3.5084813,3.2719553,3.5217933627437614,3.277222748728703
3.7193313,3.2930532,3.5346818,3.2756238,3.534818385688671,3.280508333688476
3.7278767,3.293307,3.5281873,3.2990892,3.5427367371998644,3.2888801596441244
3.7414653,3.293467,3.5439415,3.3143454,3.55214377062846,3.299443595039981
3.7518911,3.2936566,3.5693142,3.3143137,3.5654081730655665,3.3078107549509412
3.762198,3.293851,3.5743139,3.3138618,3.576662716480132,3.314123027242263
3.7739475,3.2938652,3.556211,3.3399897,3.5801544343618636,3.3256040413276087
3.7854931,3.294021,3.5271075,3.334596,3.5742071244305444,3.3332277685640817
3.7973773,3.294308,3.529207,3.3232353,3.568552540358617,3.335942527038048
3.809076,3.2941735,3.532384,3.3299263,3.563693793820264,3.339208056501171
3.8227422,3.2944288,3.5438552,3.3410234,3.561899471606768,3.344163634113868
3.8330877,3.2946942,3.5564518,3.360465,3.563172666124047,3.3527844310302704
3.843228,3.2949178,3.59413,3.3951263,3.573701977072559,3.368506105989309
3.8534086,3.2950323,3.5950305,3.3950245,3.5824999721892854,3.381115490703555
3.86523,3.2953463,3.6620278,3.416031,3.6069899396192193,3.396454019868191
3.8767889,3.2956324,3.7133842,3.419879,3.640616830055456,3.4095419758714125
3.8884482,3.2958086,3.7475731,3.4137304,3.6771874850376043,3.4179997843838543
3.8986416,3.2959228,3.7470894,3.4134462,3.706779313027849,3.4240087781257578
3.9086068,3.2960153,3.7489588,3.4232867,3.7306752562638033,3.4306131504387167
3.9187357,3.2961962,3.7295842,3.4019985,3.7439652076362813,3.429646228846004
3.9272418,3.2965417,3.7281604,3.383293,3.7528569763363056,3.4229806540443057
3.9390256,3.2968862,3.738863,3.4013753,3.7612727769989505,3.4212575175043103
3.9508235,3.2972286,3.7883606,3.4152648,3.779563947493377,3.4228505609377624
3.9626424,3.297551,3.7864866,3.4046445,3.7929230755606813,3.420960077622553
3.977919,3.2980494,3.821476,3.3970325,3.81168786186246,3.416947181244055
3.9929497,3.2985783,3.8298564,3.416952,3.828114911403459,3.4184235409065806
4.006396,3.2990556,3.843884,3.4035223,3.8439818001830734,3.4159476622036395
4.0166283,3.2993753,3.8601732,3.3953805,3.859955309325649,3.411513430792611
4.028346,3.2999635,3.863744,3.3877041,3.8726957522269823,3.40561178997961
4.0418463,3.3005612,3.8460124,3.358495,3.8771282614654368,3.3929304559490028
4.0520725,3.301089,3.8714125,3.3898304,3.8858446933225994,3.390429307103154
4.0639143,3.3016484,3.908169,3.4139366,3.9013346739459815,3.3948589686160786
4.074197,3.302049,3.8927865,3.3923185,3.90901882575736,3.393214318036156
4.0858088,3.3026125,3.9173064,3.387926,3.920479095404955,3.3908171166980825
4.09765,3.3031287,3.9285388,3.4060175,3.9317578614042463,3.393663491594494
4.107842,3.3035626,3.949946,3.4129374,3.945559941831315,3.3980493059183545
4.117974,3.3039882,3.975422,3.4162858,3.9625815670055604,3.4027362137690362
4.1281333,3.3044462,3.972098,3.3799539,3.9747794561620737,3.3972236682462165
4.1383452,3.3049512,3.9729364,3.37476,3.983905458835706,3.3911306110817754
