True_X,True_Y,Pred_X,Pred_Y,Pred_X_Smooth,Pred_Y_Smooth
5.554587,3.5698414,5.605147,3.439332,5.5799150466918945,3.4390315115451813
5.545632,3.568973,5.6006947,3.4391336,5.575049188401964,3.4388193554348416
5.539487,3.5682576,5.5949078,3.4402397,5.57064995765686,3.4386544466018676
5.5322895,3.5675068,5.587088,3.440728,5.566770423542369,3.438547871329568
5.527096,3.5669355,5.5799956,3.4392684,5.563429633776347,3.4385563333829245
5.5199256,3.5660515,5.5680046,3.438184,5.560481144831731,3.43851533302894
5.514656,3.5654657,5.557633,3.4376597,5.557679823466709,3.438513398170471
5.5101404,3.5649214,5.54585,3.4377067,5.5548095067342125,3.438480186462402
5.5037684,3.5642767,5.5361223,3.437122,5.548423067728678,3.4384737809499106
5.4982677,3.5637825,5.531057,3.4371703,5.5419495900472,3.4386077404022215
5.4928966,3.5632217,5.527975,3.437482,5.535607465108236,3.4387847741444904
5.4875093,3.5626366,5.526681,3.4386494,5.5295410792032875,3.4389707883199057
5.483062,3.5621748,5.5250993,3.4380233,5.523656558990479,3.4393715540568035
5.4761643,3.5614452,5.5212626,3.4384882,5.518255265553792,3.4398955504099527
5.468069,3.5606723,5.514625,3.4380152,5.513283761342366,3.4405150254567465
5.462864,3.5600975,5.5093503,3.439236,5.50886952082316,3.441189734141032
5.4550333,3.5593095,5.5035925,3.441143,5.5049569765726725,3.442057736714681
5.4454803,3.5583274,5.499776,3.4428952,5.501267210642497,3.4429842154184978
5.4395123,3.5576863,5.4960923,3.4435182,5.497662734985352,3.443885087966919
5.433241,3.5569844,5.491728,3.4452798,5.493993028004964,3.444893153508504
5.427713,3.5564678,5.486985,3.446044,5.4902621905008955,3.4460248311360675
5.425962,3.556226,5.4830604,3.4469519,5.486440022786458,3.4475190162658693
5.425015,3.5561218,5.479636,3.4478273,5.48273541132609,3.4493510405222576
5.40887,3.5543256,5.477434,3.4501421,5.4791696230570475,3.451018285751343
5.4028587,3.5537179,5.4757104,3.4510674,5.4757542928059895,3.4526675860087077
5.3976564,3.5532262,5.473908,3.4509952,5.472114849090576,3.4547422885894776
5.392231,3.5526133,5.4716353,3.4537704,5.468505986531576,3.4566150665283204
5.3868637,3.5519984,5.4691367,3.4549985,5.464938767751058,3.4585728804270426
5.3816204,3.5514584,5.46393,3.460901,5.4612968762715655,3.4604798634847005
5.377234,3.5510163,5.459056,3.4654956,5.457655398050944,3.4623984813690187
5.369972,3.5501697,5.4558635,3.4642446,5.453989919026693,3.464298470815023
5.364741,3.549678,5.4523625,3.4658825,5.450119145711263,3.466407569249471
5.3584647,3.5489511,5.445184,3.4740157,5.4462380091349285,3.4678781032562256
5.3529243,3.5482366,5.4419594,3.4716098,5.442275269826253,3.4694568157196044
5.347586,3.5476193,5.4382195,3.474647,5.437940533955892,3.471580235163371
5.341932,3.546899,5.432357,3.4746487,5.4334854443868,3.473445113499959
5.3366,3.5462606,5.428438,3.4757311,5.4290160497029625,3.474852673212687
5.3322296,3.545824,5.424654,3.4763272,5.424544143676758,3.4756815592447916
5.327662,3.545188,5.4193726,3.4817786,5.419974454243978,3.4765516757965087
5.323183,3.544662,5.4174933,3.4731255,5.415250205993653,3.4772353649139403
5.3179035,3.544075,5.414467,3.474676,5.410624408721924,3.477262783050537
5.3134217,3.543544,5.4066143,3.4856217,5.405543422698974,3.477237272262573
5.308008,3.5429287,5.4023104,3.4829717,5.400289821624756,3.4768296082814536
5.3034687,3.5423746,5.396889,3.4820144,5.39504877726237,3.4763480027516684
5.297075,3.541645,5.3919773,3.4779289,5.389417012532552,3.47574561436971
5.290708,3.5409002,5.387318,3.4772964,5.383525276184082,3.474855391184489
5.285262,3.5403075,5.381499,3.4761379,5.377220567067464,3.473416630427043
5.278099,3.5394714,5.3757973,3.474427,5.370400238037109,3.4722063223520916
5.270112,3.5385509,5.3657446,3.4712272,5.363162072499593,3.4705832799275718
5.2654448,3.5380359,5.3594155,3.468532,5.35596866607666,3.467821168899536
5.255653,3.5369546,5.353741,3.4674246,5.348628648122152,3.465001281102498
5.2494025,3.5362,5.3439617,3.4666953,5.3413138071695965,3.4620006879170737
5.2438173,3.5355773,5.336278,3.4629738,5.333967081705729,3.4594101746877035
5.23852,3.5350718,5.324802,3.4601972,5.326506392161051,3.4569223244984943
5.233095,3.534415,5.3151884,3.4549708,5.319240315755208,3.4544621308644614
5.2268443,3.5336769,5.3058944,3.4503303,5.3122787793477375,3.452181609471639
