timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance,x_coord,y_coord
1753006495242,-0.754935563,0.131007045507431,10.874780654907228,-0.229532436,0.1931859850883484,-0.20402883,1.8750001192092896,-42.97500229,-48.30000305,-83.5,88375.0,-61.5,13945.5,-57.5,3688.0,-87.0,49027.5,-84.0,84450.0,-75.5,44390.0,15.878,1.4012606541129833
1753006495306,-1.670788407,-0.001196411,10.536794662475586,1.454469084739685,-1.005177975,-0.609337628,4.462500095367432,-42.76875305,-48.43125153,-83.5,88375.0,-61.5,13945.5,-57.5,3688.0,-87.0,49027.5,-84.0,84450.0,-75.5,44390.0,15.878,1.4888394449950448
1753006495372,-0.386440843,-0.464805812,9.737591743469238,1.5320488214492798,-1.111926556,-1.135292172,3.262500047683716,-45.9375,-47.21250153,-83.5,88375.0,-61.5,13945.5,-57.5,3688.0,-87.0,49027.5,-84.0,84450.0,-75.5,44390.0,15.878,1.5764182358771062
1753006495437,0.2781656384468078,-1.095314622,11.166107177734377,-0.244345918,0.6145299673080444,0.564439058303833,2.5687501430511475,-47.28750229,-44.92500305,-84.0,88514.0,-64.0,13876.0,-59.0,3589.0,-85.0,51012.0,-84.0,84488.0,-75.0,44146.0,15.878,1.6639970267591677
1753006495502,0.9320043921470642,-0.333798766,8.748757362365723,-0.25121814,0.024129157885909,-0.309097588,1.3125,-47.88750076,-44.47500229,-82.5,89372.0,-64.5,14022.5,-57.0,3540.5,-85.5,48648.5,-81.0,84490.5,-74.5,43778.5,15.878,1.751575817641229
1753006495565,0.0209371987730264,-0.290727943,9.355338096618652,-0.007024945,0.2438877671957016,0.2541197538375854,2.4750001430511475,-47.92500305,-44.38125229,-82.5,89372.0,-64.5,14022.5,-57.0,3540.5,-85.5,48648.5,-81.0,84490.5,-74.5,43778.5,15.878,1.8391546085232906
1753006495631,0.6005984544754028,-1.096511006,10.112667083740234,-0.114995293,0.0960584878921508,-0.033750281,1.5187500715255735,-47.64375305,-43.65000153,-82.5,89372.0,-64.5,14022.5,-57.0,3540.5,-85.5,48648.5,-81.0,84490.5,-74.5,43778.5,15.878,1.926733399405352
1753006495696,0.3541377484798431,0.3326023519039154,8.82532787322998,0.2345720827579498,0.2499964088201522,-0.344375014,2.6625001430511475,-48.26250076,-43.44375229,-81.0,90230.0,-65.0,14169.0,-55.0,3492.0,-86.0,46285.0,-78.0,84493.0,-74.0,43411.0,15.878,2.0143121902874133
1753006495761,-0.111864455,1.29810631275177,8.802596092224121,0.3686569035053253,0.8617774844169617,-0.344375014,5.081250190734863,-48.13125229,-43.21875,-81.0,89206.0,-64.0,14164.0,-55.5,3309.0,-85.0,46197.0,-81.0,84231.5,-76.5,43483.0,15.878,2.101890981169475
1753006495826,-0.404985219,1.4673985242843628,8.797212600708008,0.4954113364219665,0.9587522745132446,-0.038789913,7.162500381469727,-48.11250305,-43.20000076,-81.0,89206.0,-64.0,14164.0,-55.5,3309.0,-85.0,46197.0,-81.0,84231.5,-76.5,43483.0,15.878,2.1894697720515364
1753006495892,-1.765304923,0.5485545992851257,10.873584747314451,0.1404989063739776,0.2260199636220932,0.3865246772766113,7.275000095367432,-48.43125153,-41.28750229,-81.0,89206.0,-64.0,14164.0,-55.5,3309.0,-85.0,46197.0,-81.0,84231.5,-76.5,43483.0,15.878,2.2770485629335977
1753006495957,-2.279163599,0.3272185027599334,10.359725952148438,-0.065973394,0.0274889152497053,0.3274235129356384,7.612500190734863,-50.55000305,-40.61250305,-81.0,88182.0,-63.0,14159.0,-56.0,3126.0,-84.0,46109.0,-84.0,83970.0,-79.0,43555.0,15.878,2.3646273538156595
1753006496021,-1.438684583,-0.192622229,10.071989059448242,-0.569936812,-0.525954604,0.0448985621333122,7.406250476837158,-49.08750153,-40.29375076,-84.0,88749.5,-62.5,14064.0,-56.0,3060.0,-86.0,47909.5,-82.5,83747.0,-77.5,43357.5,15.878,2.452206144697721
1753006496088,-1.60378933,0.267397940158844,8.757730484008789,-0.432644993,-0.283135831,-0.271834821,6.225000381469727,-48.82500076,-41.83125305,-84.0,88749.5,-62.5,14064.0,-56.0,3060.0,-86.0,47909.5,-82.5,83747.0,-77.5,43357.5,15.878,2.539784935579782
