timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance,x_coord,y_coord
1753011464638,-0.432751954,-1.314416766,9.808445930480955,0.55751633644104,0.3981308341026306,0.7643046975135803,-4.518750191,2.1937501430511475,-19.66875076,-88.0,85646.5,-77.0,12213.0,-63.5,1711.5,-90.5,48977.0,-82.0,82766.5,-76.0,42277.5,15.878,1.238973024590983
1753011464718,-0.091578215,-0.095169514,8.973467826843262,0.3529915809631347,-0.396000385,-0.16364643,-4.40625,2.6437501907348637,-19.95000076,-88.0,85646.5,-77.0,12213.0,-63.5,1711.5,-90.5,48977.0,-82.0,82766.5,-76.0,42277.5,15.878,1.3339134629650504
1753011464799,0.5081692934036255,0.1340752989053726,9.539097785949709,0.488808810710907,0.0110517926514148,-0.644865453,-4.387500286,2.9250001907348637,-20.23125076,-90.0,85705.0,-78.0,12525.0,-66.0,1477.0,-90.0,52375.0,-80.0,82532.0,-76.0,42336.0,15.878,1.430040580866443
1753011464840,1.206079125404358,0.8080430626869202,9.396044731140137,0.7295514941215515,-0.033288531,-0.150197864,-4.181250095,2.9437501430511475,-20.08125114,-90.5,85471.0,-76.0,12291.0,-66.0,1320.5,-90.0,48547.0,-80.5,82414.5,-73.0,42311.5,15.878,1.4786974795808019
1753011464921,0.1065419763326644,0.2023100405931472,10.826580047607422,1.4862663745880127,-1.41170001,0.4655068218708038,-3.918750048,2.493750095367432,-19.65000153,-90.5,85471.0,-76.0,12291.0,-66.0,1320.5,-90.0,48547.0,-80.5,82414.5,-73.0,42311.5,15.878,1.5748245974821944
1753011465000,0.9253589510917664,1.6585832834243774,9.611522674560549,-0.097468823,0.0234351269900798,0.1501978635787964,-3.768750191,1.7812501192092896,-18.88125038,-90.5,85471.0,-76.0,12291.0,-66.0,1320.5,-90.0,48547.0,-80.5,82414.5,-73.0,42311.5,15.878,1.6685783563289367
1753011465040,0.5805938839912415,0.089782565832138,11.322778701782228,-0.35885039,0.227826714515686,0.3066539466381073,-3.787500143,0.975000023841858,-18.15000153,-91.0,85237.0,-74.0,12057.0,-66.0,1164.0,-90.0,44719.0,-81.0,82297.0,-70.0,42287.0,15.878,1.7160485755159705
1753011465120,-0.056263741,1.0079588890075684,9.62947940826416,-0.063780829,-0.509447694,-0.152461469,-4.068750381,0.0562500022351741,-17.34375,-92.5,85310.0,-72.5,12154.5,-67.5,1281.5,-90.5,52732.0,-81.5,81862.5,-69.0,42199.5,15.878,1.810989013890038
1753011465200,-0.175973818,0.2519897222518921,9.486425399780272,0.2487319111824035,0.5788210034370422,0.3703016340732574,-4.387500286,-0.65625,-16.74375153,-92.5,85310.0,-72.5,12154.5,-67.5,1281.5,-90.5,52732.0,-81.5,81862.5,-69.0,42199.5,15.878,1.9059294522641055
1753011465240,0.2178723514080047,1.1563993692398071,9.153631210327148,0.7220948338508606,0.4368786811828613,0.1639127284288406,-4.6875,-1.443750024,-16.18125153,-92.5,85310.0,-72.5,12154.5,-67.5,1281.5,-90.5,52732.0,-81.5,81862.5,-69.0,42199.5,15.878,1.953399671451139
