RSSI_7,RSSI_8,RSSI_10,RSSI_11,RSSI_14,RSSI_18,RSSI_20,RSSI_22,RSSI_24,RSSI_25,RSSI_27,RSSI_29,RSSI_30,RSSI_31,RSSI_32,RSSI_34,RSSI_35,RSSI_36,RSSI_37,RSSI_41,RSSI_42,RSSI_44,RSSI_45,RSSI_46,RSSI_47,RSSI_48,RSSI_51,RSSI_52,RSSI_53,RSSI_54,RSSI_55,RSSI_56,RSSI_58,RSSI_60,RSSI_63,RSSI_68,RSSI_70,RSSI_71,RSSI_72,RSSI_73,RSSI_74,RSSI_77,RSSI_78,RSSI_79,RSSI_80,RSSI_85,RSSI_87,RSSI_90,RSSI_91,RSSI_95,RSSI_101,RSSI_103,RSSI_104,RSSI_106,RSSI_111,RSSI_116,RSSI_117,RSSI_121,RSSI_122,RSSI_127,RSSI_129,RSSI_133,RSSI_134,RSSI_138,RSSI_141,RSSI_142,RSSI_143,RSSI_144,RSSI_145,RSSI_147,RSSI_148,RSSI_149,RSSI_159,RSSI_168,RSSI_171,RSSI_184,RSSI_198,RSSI_201,RSSI_202,RSSI_203,RSSI_214,RSSI_215,RSSI_216,RSSI_217,RSSI_218,RSSI_220,RSSI_221,RSSI_222,RSSI_229,RSSI_230,RSSI_231,RSSI_233,RSSI_234,RSSI_238,RSSI_239,RSSI_240,RSSI_241,RSSI_242,RSSI_243,RSSI_244,RSSI_245,RSSI_246,RSSI_247,RSSI_249,RSSI_250,RSSI_252,RSSI_259,RSSI_260,RSSI_274,RSSI_275,RSSI_278,RSSI_279,RSSI_280,RSSI_281,RSSI_282,RSSI_283,RSSI_284,RSSI_285,RSSI_286,RSSI_287,RSSI_288,RSSI_289,RSSI_290,RSSI_291,RSSI_292,RSSI_293,RSSI_294,RSSI_295,RSSI_296,RSSI_297,RSSI_298,RSSI_299,RSSI_301,RSSI_302,RSSI_303,RSSI_307,RSSI_308,RSSI_309,RSSI_310,RSSI_311,RSSI_312,RSSI_321,RSSI_322,RSSI_323,RSSI_324,RSSI_325,RSSI_326,RSSI_327,RSSI_328,RSSI_329,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,x_coord,y_coord,z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,0.03604105,0.07574729,0.031154128,0.81881696,9.3421755,-2.5474305,-7.9199996,-54.84,-11.88,62.87389299,37.91155624,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,0.080634214,0.12889257,0.06536258,1.079785,9.02614,-2.7006595,-6.8999996,-54.78,-12.48,62.87346569,37.90100096,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.012217305,0.07880162,0.04642576,1.2904748,9.064447,-3.1986535,-7.08,-55.379997,-11.94,62.87303839,37.89044569,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.05497787,0.1142318,0.055588737,1.2449849,9.323022,-2.9951463,-7.56,-54.96,-10.86,62.87261109,37.87989041,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.11178834,0.084910266,0.04337143,1.4820108,9.56723,-2.9233203,-7.44,-55.379997,-11.5199995,62.87218379,37.86933513,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.040927973,0.040317107,-0.01038471,1.4413095,9.643845,-2.5306711,-5.94,-54.78,-12.3,62.87175649,37.85877986,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,-0.07880162,0.15393804,-0.032375857,0.93852705,9.495404,-2.1667526,-7.5,-53.34,-12.719999,62.87132919,37.84822458,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,0.089186326,-0.06780604,0.002443461,1.6448165,9.445126,-2.6886885,-6.96,-54.539997,-12.059999,62.85825468,37.8446003,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,0.03481932,0.122783914,-0.031154128,1.3838485,9.306262,-2.645593,-5.64,-55.14,-11.5199995,62.83975995,37.84394644,6.313711473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-70,-70,-85,-87,-44,-44,-64,-45,-85,-59,-59,-59,-77,-66,0,0,-64,-90,-67,-66,-71,-75,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,-77,-74,0,0,0,0,0,0,0,0.028710667,0.10629055,-0.047647487,1.0295067,9.129091,-2.942474,-5.64,-54.6,-11.7,62.82126521,37.84329258,6.313711473
