RSSI_4,RSSI_10,RSSI_11,RSSI_14,RSSI_15,RSSI_16,RSSI_17,RSSI_18,RSSI_20,RSSI_24,RSSI_25,RSSI_27,RSSI_29,RSSI_30,RSSI_31,RSSI_32,RSSI_34,RSSI_35,RSSI_36,RSSI_37,RSSI_38,RSSI_41,RSSI_44,RSSI_45,RSSI_46,RSSI_50,RSSI_51,RSSI_55,RSSI_58,RSSI_60,RSSI_63,RSSI_68,RSSI_69,RSSI_70,RSSI_71,RSSI_72,RSSI_73,RSSI_74,RSSI_75,RSSI_77,RSSI_78,RSSI_79,RSSI_80,RSSI_85,RSSI_90,RSSI_91,RSSI_95,RSSI_103,RSSI_105,RSSI_106,RSSI_111,RSSI_117,RSSI_121,RSSI_122,RSSI_127,RSSI_129,RSSI_138,RSSI_141,RSSI_142,RSSI_143,RSSI_145,RSSI_147,RSSI_148,RSSI_149,RSSI_159,RSSI_184,RSSI_201,RSSI_202,RSSI_203,RSSI_214,RSSI_215,RSSI_216,RSSI_217,RSSI_218,RSSI_220,RSSI_221,RSSI_222,RSSI_229,RSSI_230,RSSI_231,RSSI_233,RSSI_234,RSSI_238,RSSI_239,RSSI_240,RSSI_241,RSSI_242,RSSI_243,RSSI_244,RSSI_245,RSSI_246,RSSI_247,RSSI_249,RSSI_250,RSSI_252,RSSI_259,RSSI_260,RSSI_274,RSSI_275,RSSI_278,RSSI_279,RSSI_280,RSSI_281,RSSI_282,RSSI_283,RSSI_284,RSSI_285,RSSI_286,RSSI_287,RSSI_291,RSSI_293,RSSI_296,RSSI_297,RSSI_298,RSSI_302,RSSI_303,RSSI_304,RSSI_305,RSSI_306,RSSI_307,RSSI_308,RSSI_309,RSSI_310,RSSI_311,RSSI_312,RSSI_321,RSSI_330,RSSI_331,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,x_coord,y_coord,z
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022602014,0.07147124,0.02443461,-0.61052144,9.452309,-2.0111294,10.26,-50.1,33.059998,-14.33801062,22.03026014,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18509217,0.086132,-0.06047566,-0.59376204,9.545682,-1.9776106,9.599999,-48.66,32.46,-14.31012345,22.02104371,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055588737,-0.044593163,0.045814894,-0.60573304,9.464279,-1.6112977,9.42,-50.82,32.7,-14.28223629,22.01182729,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059864793,-0.15210545,0.08674286,0.038307227,9.536105,-2.099715,9.599999,-49.2,32.46,-14.25434913,22.00261086,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01038471,-0.12095132,0.047036625,-0.50517654,9.452309,-1.412579,10.5,-50.039997,32.7,-14.22646196,21.99339443,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057421334,0.028710667,-0.021380283,-0.557849,9.471462,-2.1859062,9.84,-49.14,31.439999,-14.1985748,21.984178,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06169739,-0.12156218,-0.019547688,-0.48841715,9.469068,-1.5442601,10.62,-48.6,33.18,-14.17068764,21.97496157,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1386664,-0.049480084,0.02443461,-0.8595184,9.768343,-1.7286136,9.42,-48.48,32.16,-14.14280047,21.96574514,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06780604,-0.07513642,0.059864793,-0.8283938,9.888053,-1.5131354,9.84,-47.82,32.16,-14.11491331,21.95652871,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019547688,-0.23396139,0.11484267,-0.02873042,10.043676,-2.1499932,9.96,-48.42,31.439999,-14.08702615,21.94731229,6.271934616
